1995cmp_0,Chairman's Award Winner,frc151,
1995cmp_1,Championship Winner,frc100,
1995cmp_10,Rookie All-Star,frc23,
1995cmp_10,Rookie All-Star,frc55,
1995cmp_10,Rookie All-Star,frc100,
1995cmp_10,Rookie All-Star,frc161,
1995cmp_17,Quality,frc146,
1995cmp_19,Sportsmanship-GP,frc191,
1995cmp_2,Championship Finalist,frc126,
1995cmp_20,Creativity,frc190,
1995cmp_38,Leadership in Controls,frc144,
1995cmp_39,#1 Seed,frc100,
1995cmp_43,Best Offensive Round,frc131,
1995cmp_44,Best Play of the Day Award,frc80,
1995cmp_46,Most Photogenic Award,frc141,
1995cmp_47,Outstanding Defense,frc148,
1995cmp_51,Chairman's Award Finalist,frc45,
1995cmp_51,Chairman's Award Finalist,frc80,
1995cmp_51,Chairman's Award Finalist,frc126,
