2005ct_0,Regional Chairman's Award,frc236,
2005ct_1,Regional Winner,frc69,
2005ct_1,Regional Winner,frc126,
2005ct_1,Regional Winner,frc1071,
2005ct_10,Rookie All-Star,frc1665,
2005ct_13,Judges' Award,frc716,
2005ct_13,Judges' Award,frc1568,
2005ct_14,Highest Rookie Seed,frc1568,
2005ct_15,Rookie Inspiration Award,frc1524,
2005ct_16,Industrial Design,frc20,
2005ct_17,Quality,frc126,
2005ct_18,Safety Award,frc230,
2005ct_19,Sportsmanship-GP,frc157,
2005ct_2,Regional Finalist,frc20,
2005ct_2,Regional Finalist,frc173,
2005ct_2,Regional Finalist,frc230,
2005ct_20,Creativity,frc1493,
2005ct_22,Entrepreneurship,frc839,
2005ct_26,"Delphi ""Driving Tomorrow's Technology""",frc69,
2005ct_27,Imagery,frc558,
2005ct_3,Woodie Flowers Finalist Award,frc176,Dave Leenhouts
2005ct_30,Team Spirit Award,frc1099,
2005ct_31,Website Design Award,frc228,
2005ct_32,Autodesk Visualization Award,frc230,
2005ct_38,Leadership in Controls,frc1100,
2005ct_9,Engineering Inspiration Award,frc176,
