2005il_0,Regional Chairmans Winner,frc111,
2005il_1,Regional Winner,frc71,
2005il_1,Regional Winner,frc111,
2005il_1,Regional Winner,frc537,
2005il_10,Rookie All Star,frc1675,
2005il_13,Judge's Award,frc903,
2005il_13,Judge's Award,frc877,
2005il_14,Highest Rookie Seed,frc1646,
2005il_15,Rookie Inspiration,frc1525,
2005il_16,General Motors Industrial Design,frc79,
2005il_17,Motorola Quality,frc71,
2005il_18,Safety,frc45,
2005il_19,Johnson and Johnson Sportsmanship,frc107,
2005il_2,Regional Finalist,frc383,
2005il_2,Regional Finalist,frc903,
2005il_2,Regional Finalist,frc65,
2005il_20,Xerox Creativity,frc648,
2005il_22,"Kleiner, Perkins, Caufield and Byers",frc537,
2005il_26,Delphi Drive Tommorows Technology,frc108,
2005il_27,Imagery,frc1259,
2005il_29,Radio Shack Innovation in Control,frc65,
2005il_3,Regional Woodie Flowers Award,frc111,Al Skierkiewicz of Team 111
2005il_30,DaimlerChrysler Team Spirit,frc461,
2005il_31,Website,frc71,
2005il_32,Autodesk Visualization,frc383,
2005il_9,Engineering Inspiration,frc45,
