2006gl_0,Regional Chairman's Award,frc66,
2006gl_1,Regional Winner,frc1503,
2006gl_1,Regional Winner,frc1114,
2006gl_1,Regional Winner,frc67,
2006gl_10,Rookie All-Star Award,frc1718,
2006gl_13,Judge's Award (Day 1),frc548,
2006gl_13,Judge's Award (Day 1),frc57,
2006gl_14,Highest Rookie Seed Award,frc1856,
2006gl_15,Rookie Inspiration Award,frc1896,
2006gl_16,General Motors Industrial Design Award,frc302,
2006gl_17,Motorola Quality Award,frc322,
2006gl_18,Underwriters Laboratories Industrial Safety Award,frc279,
2006gl_19,Johnson and Johnson Sportsmanship Award,frc1023,
2006gl_2,Regional Finalist,frc469,
2006gl_2,Regional Finalist,frc451,
2006gl_2,Regional Finalist,frc815,
2006gl_20,Xerox Creativity Award,frc308,
2006gl_22,"Kleiner, Perkins, Caufield and Byers Entrepreneurship Award",frc406,
2006gl_26,"Delphi ""Driving Tommorow's Technology"" Award",frc33,
2006gl_27,Imagery Award,frc503,
2006gl_29,Radio Shack Innovation in Control Award,frc1114,
2006gl_3,Regional Woodie Flowers Award,,Artur Ostrowski of Team #469
2006gl_30,DaimlerChrysler Team Spirit Award,frc1596,
2006gl_31,Website Award,frc1188,
2006gl_32,Autodesk Visualization Award,frc1528,
2006gl_9,Engineering Inspiration Award,frc1188,
