2006or_0,Regional Chairman's Award,frc492,
2006or_1,Regional Winner,frc254,
2006or_1,Regional Winner,frc753,
2006or_1,Regional Winner,frc1887,
2006or_10,Rookie All-Star Award,frc1778,
2006or_13,Judge's Award (Day 1),frc1624,
2006or_13,Judge's Award (Day 1),frc604,
2006or_14,Highest Rookie Seed Award,frc1839,
2006or_15,Rookie Inspiration Award,frc1839,
2006or_16,General Motors Industrial Design Award,frc949,
2006or_17,Motorola Quality Award,frc948,
2006or_18,Underwriters Laboratories Industrial Safety Award,frc604,
2006or_19,Johnson and Johnson Sportsmanship Award,frc1346,
2006or_2,Regional Finalist,frc360,
2006or_2,Regional Finalist,frc114,
2006or_2,Regional Finalist,frc955,
2006or_20,Xerox Creativity Award,frc1510,
2006or_22,"Kleiner, Perkins, Caufield and Byers Entrepreneurship Award",frc1700,
2006or_26,"Delphi ""Driving Tommorow's Technology"" Award",frc114,
2006or_27,Imagery Award,frc1359,
2006or_29,Radio Shack Innovation in Control Award,frc997,
2006or_3,Regional Woodie Flowers Award,frc1510,Williane Tenca (Team 1510)
2006or_30,DaimlerChrysler Team Spirit Award,frc847,
2006or_31,Website Award,frc955,
2006or_32,Autodesk Visualization Award,frc114,
2006or_5,Outstanding Volunteer of the Year Award,,Miki Fluckigers (Team 847)
2006or_5,Outstanding Volunteer of the Year Award,,Brogan Thomsen
2006or_9,Engineering Inspiration Award,frc481,
