Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,100,9,1,0,10,18.00,9.90,260
2,997,8,1,1,10,17.00,19.00,76
3,701,7,2,1,10,15.00,12.10,158
4,1351,7,2,1,10,15.00,9.70,132
5,852,7,3,0,10,14.00,18.70,132
6,2063,7,3,0,10,14.00,13.80,158
7,1960,5,2,3,10,13.00,7.00,50
8,675,6,3,1,10,13.00,5.10,64
9,114,6,4,0,10,12.00,13.80,132
10,1678,5,3,2,10,12.00,9.50,64
11,1560,6,4,0,10,12.00,7.60,34
12,1662,6,4,0,10,12.00,4.70,64
13,2085,5,4,1,10,11.00,18.20,108
14,766,5,4,1,10,11.00,16.20,92
15,1031,5,4,1,10,11.00,1.00,260
16,1280,5,5,0,10,10.00,18.20,132
17,1726,5,5,0,10,10.00,13.80,260
18,2189,5,5,0,10,10.00,12.80,48
19,1359,5,5,0,10,10.00,12.30,92
20,2156,5,5,0,10,10.00,11.50,132
21,115,5,5,0,10,10.00,10.50,51
22,295,4,5,1,10,9.00,22.70,49
23,955,4,5,1,10,9.00,9.40,58
24,2159,4,5,1,10,9.00,7.00,132
25,481,3,4,3,10,9.00,6.40,32
26,841,4,5,1,10,9.00,6.30,53
27,1671,4,6,0,10,8.00,17.70,76
28,2073,4,6,0,10,8.00,9.80,76
29,1323,4,6,0,10,8.00,9.40,108
30,1147,4,6,0,10,8.00,7.20,158
31,1458,3,6,1,10,7.00,14.50,50
32,2204,3,6,1,10,7.00,10.00,53
33,973,2,6,2,10,6.00,17.70,83
34,2035,3,7,0,10,6.00,12.80,83
35,753,3,6,0,9,6.00,11.00,40
36,751,3,7,0,10,6.00,9.20,42
37,670,3,7,0,10,6.00,8.80,35
38,692,2,8,0,10,4.00,16.20,62
39,1072,1,8,1,10,3.00,3.90,32
