Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,100,6,0,0,6,12.00,7.00,290
2,114,6,0,0,6,12.00,2.67,128
3,846,5,1,0,6,10.00,22.83,64
4,987,5,1,0,6,10.00,12.33,110
5,1516,5,1,0,6,10.00,8.17,290
6,852,5,1,0,6,10.00,5.67,64
7,1967,5,1,0,6,10.00,5.00,128
8,1070,5,1,0,6,10.00,3.00,68
9,1560,5,1,0,6,10.00,3.00,64
10,624,4,2,1,7,9.00,7.29,35
11,670,4,1,1,6,9.00,2.00,49
12,1700,4,2,0,6,8.00,22.50,64
13,2144,4,2,0,6,8.00,10.50,38
14,973,4,3,0,7,8.00,6.86,35
15,192,4,2,0,6,8.00,6.67,94
16,190,4,2,0,6,8.00,3.00,64
17,1570,4,2,0,6,8.00,0.67,8
18,368,3,2,1,6,7.00,14.00,64
19,766,3,2,1,6,7.00,9.00,64
20,1834,3,3,1,7,7.00,3.14,64
21,254,3,3,0,6,6.00,12.50,64
22,2024,3,3,0,6,6.00,12.33,94
23,1280,3,3,0,6,6.00,9.33,32
24,253,3,3,0,6,6.00,6.00,30
25,668,3,3,0,6,6.00,4.50,290
26,568,3,3,0,6,6.00,4.00,64
27,2035,3,3,0,6,6.00,3.33,110
28,692,3,3,0,6,6.00,2.67,36
29,488,2,3,1,6,5.00,14.17,32
30,1544,2,3,1,6,5.00,8.83,47
31,2135,2,4,1,7,5.00,7.43,32
32,2141,2,3,1,6,5.00,6.33,32
33,675,2,4,0,6,4.00,13.00,50
34,604,2,4,0,6,4.00,10.00,50
35,1693,2,4,0,6,4.00,9.67,50
36,256,2,3,0,5,4.00,8.60,30
37,1970,2,4,0,6,4.00,6.00,34
38,115,2,5,0,7,4.00,2.00,64
39,1351,2,5,0,7,4.00,1.71,15
40,751,1,4,1,6,3.00,6.67,79
41,362,1,4,1,6,3.00,1.33,32
42,581,1,5,0,6,2.00,9.00,34
43,8,1,5,0,6,2.00,2.00,47
44,971,1,5,0,6,2.00,1.67,10
45,649,1,5,0,6,2.00,1.00,8
46,1458,1,5,0,6,2.00,0.33,4
47,840,0,5,1,6,1.00,8.00,32
48,1868,0,6,0,6,0.00,2.67,8
