Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,1625,9,0,0,9,18.00,32.67,74
2,1986,8,1,0,9,16.00,32.00,64
3,1710,7,1,1,9,15.00,24.22,58
4,1158,6,2,1,9,13.00,32.67,74
5,1847,6,2,1,9,13.00,18.44,58
6,1592,6,3,0,9,12.00,34.00,68
7,1764,6,3,0,9,12.00,20.67,66
8,2083,6,3,0,9,12.00,19.56,50
9,2261,5,3,1,9,11.00,27.78,64
10,1303,5,3,1,9,11.00,20.67,60
11,1996,5,4,0,9,10.00,33.78,64
12,1619,5,4,0,9,10.00,30.67,58
13,2543,5,4,0,9,10.00,23.78,74
14,1799,5,4,0,9,10.00,23.56,70
15,662,5,4,0,9,10.00,22.22,68
16,1377,5,4,0,9,10.00,22.22,50
17,2400,5,4,0,9,10.00,21.56,56
18,2250,5,4,0,9,10.00,15.33,74
19,443,4,4,1,9,9.00,29.33,74
20,1245,4,4,1,9,9.00,28.00,66
21,1583,4,4,1,9,9.00,21.56,48
22,1552,4,5,0,9,8.00,29.33,60
23,1157,4,5,0,9,8.00,26.89,74
24,2036,4,5,0,9,8.00,25.78,68
25,1339,4,5,0,9,8.00,25.33,46
26,1348,4,5,0,9,8.00,22.00,64
27,2259,4,5,0,9,8.00,16.67,44
28,1408,3,5,1,9,7.00,27.78,64
29,1332,3,5,1,9,7.00,26.89,72
30,159,3,5,1,9,7.00,23.78,48
31,1296,3,6,0,9,6.00,30.22,72
32,1584,3,6,0,9,6.00,29.78,62
33,1357,3,6,0,9,6.00,25.56,64
34,1410,3,6,0,9,6.00,23.56,50
35,2275,3,6,0,9,6.00,22.89,62
36,1375,3,5,0,8,6.00,21.11,56
37,1789,3,6,0,9,6.00,19.11,50
38,1785,3,6,0,9,6.00,18.00,50
39,2240,3,6,0,9,6.00,14.22,70
40,1361,2,6,1,9,5.00,16.44,44
41,1977,2,7,0,9,4.00,25.33,56
42,1691,2,7,0,9,4.00,21.11,58
