2008ein_0,Championship - Chairman's Award,frc842,
2008ein_1,Championship - Championship Winner,frc1114,
2008ein_1,Championship - Championship Winner,frc217,
2008ein_1,Championship - Championship Winner,frc148,
2008ein_10,Championship - Rookie All Star,frc2352,
2008ein_11,Championship - Johnson & Johnson Gracious Professionalism,frc75,
2008ein_13,Championship - Judges Award,frc922,
2008ein_13,Championship - Judges Award,frc1860,
2008ein_13,Championship - Judges Award,frc768,
2008ein_15,Championship - Rookie Inspiration,frc2599,
2008ein_16,Championship - General Motors Industrial Design,frc233,
2008ein_17,Championship - Motorola Quality,frc27,
2008ein_18,Championship - Underwriters Laboratory Industrial Safety,frc2062,
2008ein_2,Championship - Championship Finalist,frc348,
2008ein_2,Championship - Championship Finalist,frc67,
2008ein_2,Championship - Championship Finalist,frc16,
2008ein_20,Championship - Xerox Creativity,frc1771,
2008ein_22,Championship - Kleiner Perkins Caufield & Byers Entrepreneurship,frc341,
2008ein_26,"Championship - Delphi ""Driving Tomorrow's Technology""",frc1690,
2008ein_27,Championship - Imagery,frc365,
2008ein_29,Championship - Rockwell Automation Innovation in Control,frc1024,
2008ein_3,Championship - Woodie Flowers,,Mark Breadner
2008ein_30,Championship - Chrysler Team Spirit,frc1266,
2008ein_31,Championship - Website,frc115,
2008ein_32,Championship - Autodesk Visualization,frc867,
2008ein_33,Championship - Autodesk Inventor,frc234,
2008ein_5,Championship - FRC Outstanding Volunteer Award,,Mike Wade
2008ein_6,Championship - Founders,,BAE Systems
2008ein_9,Championship - Engineering Inspiration,frc359,
