Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,968,7,0,0,7,14.00,74.00,140
2,2056,7,0,0,7,14.00,55.14,112
3,1574,6,0,1,7,13.00,50.29,122
4,20,6,1,0,7,12.00,78.57,120
5,111,6,1,0,7,12.00,69.14,118
6,39,6,1,0,7,12.00,66.29,122
7,141,6,1,0,7,12.00,63.71,118
8,1251,6,1,0,7,12.00,56.00,126
9,1502,6,1,0,7,12.00,42.86,86
10,1714,5,1,1,7,11.00,55.43,140
11,2591,5,1,1,7,11.00,50.86,126
12,1108,5,2,0,7,10.00,66.57,140
13,1625,5,2,0,7,10.00,61.43,126
14,2338,5,2,0,7,10.00,52.86,80
15,1165,5,2,0,7,10.00,50.00,64
16,128,5,2,0,7,10.00,47.43,108
17,801,5,2,0,7,10.00,47.43,106
18,296,5,2,0,7,10.00,45.43,80
19,1429,5,2,0,7,10.00,43.43,78
20,1736,4,2,1,7,9.00,55.43,88
21,2016,4,2,1,7,9.00,50.00,80
22,2557,4,2,1,7,9.00,49.71,86
23,175,4,3,0,7,8.00,74.00,114
24,329,4,3,0,7,8.00,69.71,118
25,312,4,3,0,7,8.00,63.43,122
26,488,4,3,0,7,8.00,62.29,100
27,397,4,3,0,7,8.00,60.86,98
28,1806,4,3,0,7,8.00,57.71,122
29,832,4,3,0,7,8.00,54.29,88
30,60,4,3,0,7,8.00,52.86,102
31,233,4,3,0,7,8.00,52.29,106
32,1086,4,3,0,7,8.00,51.71,122
33,375,4,3,0,7,8.00,51.14,92
34,341,4,3,0,7,8.00,50.29,98
35,2630,3,2,2,7,8.00,47.14,112
36,1279,4,3,0,7,8.00,46.86,94
37,1388,4,3,0,7,8.00,41.14,74
38,241,4,2,0,6,8.00,40.86,98
39,87,4,3,0,7,8.00,40.86,62
40,503,4,3,0,7,8.00,39.14,70
41,2455,4,3,0,7,8.00,34.00,90
42,1662,3,3,1,7,7.00,54.57,80
43,47,3,4,0,7,6.00,70.29,100
44,79,3,4,0,7,6.00,66.29,110
45,692,3,4,0,7,6.00,63.14,120
46,2483,3,4,0,7,6.00,58.00,78
47,2041,3,4,0,7,6.00,52.86,104
48,1868,3,4,0,7,6.00,51.43,74
49,1538,3,4,0,7,6.00,49.71,102
50,179,3,4,0,7,6.00,49.14,94
51,224,3,4,0,7,6.00,48.00,86
52,1033,3,4,0,7,6.00,47.14,84
53,2214,3,4,0,7,6.00,46.00,88
54,1594,3,4,0,7,6.00,45.71,104
55,2352,3,4,0,7,6.00,44.29,86
56,1014,3,4,0,7,6.00,42.86,66
57,587,3,4,0,7,6.00,42.00,84
58,610,3,4,0,7,6.00,41.14,62
59,1127,3,4,0,7,6.00,36.29,90
60,5,2,4,1,7,5.00,59.71,110
61,2430,2,4,1,7,5.00,48.00,82
62,68,2,4,1,7,5.00,47.43,82
63,1357,2,5,0,7,4.00,58.86,86
64,102,2,4,0,6,4.00,58.57,118
65,359,2,5,0,7,4.00,52.86,92
66,1318,2,5,0,7,4.00,51.71,70
67,1626,1,4,2,7,4.00,50.86,80
68,2543,2,5,0,7,4.00,50.29,80
69,192,2,5,0,7,4.00,49.14,102
70,547,2,5,0,7,4.00,46.00,108
71,440,2,5,0,7,4.00,44.57,96
72,422,2,5,0,7,4.00,42.86,68
73,2415,2,5,0,7,4.00,40.00,64
74,922,2,5,0,7,4.00,39.14,94
75,159,2,5,0,7,4.00,38.00,68
76,207,2,4,0,6,4.00,36.29,100
77,1941,1,5,1,7,3.00,53.14,108
78,120,1,5,1,7,3.00,48.29,80
79,868,1,6,0,7,2.00,58.29,90
80,1522,1,6,0,7,2.00,50.57,102
81,2122,1,6,0,7,2.00,48.00,74
82,2614,0,5,2,7,2.00,47.43,64
83,468,1,5,0,6,2.00,41.14,72
84,714,1,6,0,7,2.00,37.14,82
85,288,0,7,0,7,0.00,55.14,88
