2009kc_0,Regional Chairman's Award,frc1710,
2009kc_1,Regional Winner,frc1806,
2009kc_1,Regional Winner,frc931,
2009kc_1,Regional Winner,frc1208,
2009kc_10,Rookie All Star Award,frc2874,
2009kc_11,Johnson & Johnson Gracious Professionalism,frc525,
2009kc_13,Judges Award,frc2167,
2009kc_13,Judges Award,frc2177,
2009kc_14,Highest Rookie Seed Award,frc2874,
2009kc_15,Rookie Inspiration Award,frc2894,
2009kc_16,General Motors Industrial Design Award,frc1806,
2009kc_17,Motorola Quality Award,frc935,
2009kc_18,Underwriters Laboratories Industrial Safety Award,frc1710,
2009kc_2,Regional Finalist,frc2164,
2009kc_2,Regional Finalist,frc1825,
2009kc_2,Regional Finalist,frc1985,
2009kc_20,Xerox Creativity Award,frc1108,
2009kc_22,Kleiner Perkins Caufield & Byers Entrepreneurship Award,frc537,
2009kc_26,"Delphi ""Driving Tomorrow's Technology"" Award",frc1448,
2009kc_27,Imagery Award,frc1986,
2009kc_29,Rockwell Automation Innovation in Control Award,frc1764,
2009kc_3,Woodie Flowers Award,frc1710,Susan Rippe
2009kc_30,Chrysler Team Spirit Award,frc1939,
2009kc_31,Website Award,frc1777,
2009kc_32,Autodesk Visualization Award,frc935,
2009kc_5,Outstanding Volunteer Award,,Dean Sherman
2009kc_9,Regional Engineering Inspiration Award,frc1730,
