2009nj_0,Regional Chairman's Award,frc1089,
2009nj_1,Regional Winner,frc1923,
2009nj_1,Regional Winner,frc2344,
2009nj_1,Regional Winner,frc2753,
2009nj_10,Rookie All-Star,frc2753,
2009nj_13,Judges' Award,frc1923,
2009nj_13,Judges' Award,frc2016,
2009nj_14,Highest Rookie Seed,frc2753,
2009nj_16,Industrial Design,frc1218,
2009nj_17,Quality,frc422,
2009nj_18,Safety Award,frc816,
2009nj_19,Sportsmanship-GP,frc75,
2009nj_2,Regional Finalist,frc25,
2009nj_2,Regional Finalist,frc612,
2009nj_2,Regional Finalist,frc834,
2009nj_20,Creativity,frc708,
2009nj_22,Entrepreneurship,frc2590,
2009nj_26,"Delphi ""Driving Tomorrow's Technology""",frc293,
2009nj_27,Imagery,frc816,
2009nj_3,Woodie Flowers Finalist Award,frc2180,Dave Kohler
2009nj_30,Team Spirit Award,frc11,
2009nj_31,Website Design Award,frc75,
2009nj_32,Autodesk Visualization Award,frc303,
2009nj_38,Leadership in Controls,frc41,
2009nj_9,Engineering Inspiration Award,frc612,
