Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,375,7,0,0,7,14.00,46.85,96
2,2344,6,1,0,7,12.00,47.42,102
3,1660,6,1,0,7,12.00,43.14,82
4,56,6,1,0,7,12.00,43.14,80
5,1155,6,1,0,7,12.00,39.14,108
6,271,6,1,0,7,12.00,36.28,86
7,1807,6,1,0,7,12.00,27.42,108
8,694,5,1,1,7,11.00,45.42,100
9,2753,5,2,0,7,10.00,45.71,102
10,237,5,2,0,7,10.00,44.85,90
11,335,5,2,0,7,10.00,43.42,90
12,1230,5,2,0,7,10.00,40.57,96
13,1302,5,2,0,7,10.00,40.57,82
14,354,5,2,0,7,10.00,40.28,100
15,1396,5,2,0,7,10.00,40.00,85
16,371,5,2,0,7,10.00,37.14,76
17,369,5,2,0,7,10.00,35.14,66
18,421,5,2,0,7,10.00,34.28,70
19,1211,5,2,0,7,10.00,34.28,70
20,2681,5,2,0,7,10.00,32.00,86
21,806,5,2,0,7,10.00,25.42,68
22,395,4,2,1,7,9.00,46.28,92
23,1796,4,3,0,7,8.00,44.28,92
24,3059,4,3,0,7,8.00,40.85,61
25,527,4,3,0,7,8.00,40.00,60
26,2933,4,3,0,7,8.00,38.00,62
27,329,4,3,0,7,8.00,36.85,100
28,270,4,3,0,7,8.00,35.14,85
29,759,4,3,0,7,8.00,33.71,66
30,555,4,3,0,7,8.00,31.14,92
31,3017,4,3,0,7,8.00,29.14,68
32,2285,3,3,1,7,7.00,43.71,90
33,1600,3,4,0,7,6.00,53.14,72
34,2577,3,4,0,7,6.00,42.00,73
35,743,3,4,0,7,6.00,40.00,108
36,2601,3,4,0,7,6.00,39.71,90
37,1257,3,4,0,7,6.00,39.71,70
38,1881,3,4,0,7,6.00,38.28,64
39,41,3,4,0,7,6.00,37.14,71
40,2265,3,4,0,7,6.00,35.14,82
41,2895,3,4,0,7,6.00,33.42,80
42,2070,3,4,0,7,6.00,33.14,68
43,1156,3,4,0,7,6.00,32.85,68
44,1989,3,4,0,7,6.00,29.14,70
45,2554,3,4,0,7,6.00,26.28,68
46,2579,3,4,0,7,6.00,26.28,66
47,3111,2,4,1,7,5.00,35.71,66
48,1237,2,4,1,7,5.00,35.42,71
49,1862,2,4,1,7,5.00,30.28,64
50,263,2,5,0,7,4.00,37.71,61
51,1635,2,5,0,7,4.00,36.28,82
52,2205,2,5,0,7,4.00,35.14,56
53,2573,2,5,0,7,4.00,31.71,102
54,3053,2,5,0,7,4.00,31.71,46
55,380,2,5,0,7,4.00,31.14,62
56,358,2,5,0,7,4.00,28.00,54
57,640,2,5,0,7,4.00,25.42,70
58,333,2,5,0,7,4.00,24.85,92
59,1563,1,6,0,7,2.00,44.57,84
60,334,1,6,0,7,2.00,39.14,54
61,3112,1,6,0,7,2.00,36.57,48
62,3004,1,6,0,7,2.00,36.00,74
63,1520,1,6,0,7,2.00,34.85,62
64,1340,1,6,0,7,2.00,32.00,84
65,1880,0,7,0,7,0,35.14,54
66,1698,0,7,0,7,0,31.71,52
