Rank,Team,Wins,Losses,Ties,Played,QS,RS,MP
1,3070,7,0,0,7,14.00,42.57,84
2,1425,6,1,0,7,12.00,46.85,82
3,2471,6,1,0,7,12.00,45.14,80
4,2660,6,1,0,7,12.00,43.00,67
5,360,6,1,0,7,12.00,41.57,74
6,2898,6,1,0,7,12.00,36.85,84
7,949,6,1,0,7,12.00,34.57,55
8,2865,5,1,1,7,11.00,43.42,88
9,2927,5,2,0,7,10.00,43.42,84
10,2922,5,2,0,7,10.00,42.57,68
11,1510,5,2,0,7,10.00,42.14,78
12,1280,5,2,0,7,10.00,41.42,88
13,1318,5,2,0,7,10.00,39.42,87
14,1569,5,2,0,7,10.00,38.14,69
15,1517,5,2,0,7,10.00,36.14,83
16,948,5,2,0,7,10.00,36.00,80
17,3049,5,2,0,7,10.00,35.57,62
18,2046,5,2,0,7,10.00,31.85,89
19,945,4,2,1,7,9.00,47.14,76
20,955,4,2,1,7,9.00,46.71,83
21,2926,4,2,1,7,9.00,44.42,80
22,488,4,3,0,7,8.00,39.42,80
23,1346,4,3,0,7,8.00,39.28,89
24,2904,4,3,0,7,8.00,38.57,74
25,2905,4,3,0,7,8.00,38.57,72
26,2555,4,3,0,7,8.00,37.85,84
27,2374,4,3,0,7,8.00,37.14,78
28,2907,4,3,0,7,8.00,34.85,74
29,2944,4,3,0,7,8.00,32.00,80
30,2411,4,3,0,7,8.00,30.42,83
31,1570,3,3,1,7,7.00,42.85,76
32,2903,3,3,1,7,7.00,39.57,76
33,1983,3,4,0,7,6.00,47.71,84
34,2930,3,4,0,7,6.00,39.42,88
35,2522,3,4,0,7,6.00,38.85,89
36,372,3,4,0,7,6.00,38.28,84
37,2148,3,4,0,7,6.00,37.57,74
38,2908,3,4,0,7,6.00,36.71,70
39,2921,3,4,0,7,6.00,36.57,75
40,2605,3,4,0,7,6.00,34.85,71
41,2149,3,4,0,7,6.00,33.14,68
42,2942,3,4,0,7,6.00,29.42,76
43,1778,2,5,0,7,4.00,45.85,83
44,1294,2,5,0,7,4.00,45.71,87
45,3093,2,5,0,7,4.00,43.00,59
46,2925,2,5,0,7,4.00,40.14,75
47,2924,2,5,0,7,4.00,39.14,66
48,2517,2,5,0,7,4.00,38.85,66
49,2923,2,5,0,7,4.00,37.42,87
50,2971,2,5,0,7,4.00,37.42,54
51,2929,2,5,0,7,4.00,36.71,75
52,1899,2,5,0,7,4.00,34.71,42
53,2976,2,5,0,7,4.00,33.71,44
54,2980,2,5,0,7,4.00,33.28,60
55,2550,2,5,0,7,4.00,33.14,50
56,2910,2,5,0,7,4.00,32.85,69
57,2906,2,5,0,7,4.00,32.57,57
58,1696,2,5,0,7,4.00,32.28,70
59,492,2,5,0,7,4.00,31.14,55
60,2147,1,6,0,7,2.00,40.42,64
61,2557,1,6,0,7,2.00,36.71,76
62,2928,1,6,0,7,2.00,36.57,74
63,2412,1,6,0,7,2.00,33.57,53
64,1258,1,6,0,7,2.00,33.14,55
