2010gt_0,Regional Chairman's Award,frc85,
2010gt_1,Regional Winner,frc1254,
2010gt_1,Regional Winner,frc1918,
2010gt_1,Regional Winner,frc2645,
2010gt_10,Rookie All-Star,frc3357,
2010gt_12,Coopertition Award,frc1918,
2010gt_13,Judges' Award,frc2246,
2010gt_14,Highest Rookie Seed,frc3357,
2010gt_15,Rookie Inspiration Award,frc3423,
2010gt_16,Industrial Design,frc2000,
2010gt_17,Quality,frc1918,
2010gt_18,Safety Award,frc94,
2010gt_19,Sportsmanship-GP,frc94,
2010gt_20,Creativity,frc2015,
2010gt_22,Entrepreneurship,frc2188,
2010gt_26,"Delphi ""Driving Tomorrow's Technology""",frc2959,
2010gt_27,Imagery,frc1711,
2010gt_30,Team Spirit Award,frc1189,
2010gt_31,Website Design Award,frc66,
2010gt_38,Leadership in Controls,frc141,
2010gt_9,Engineering Inspiration Award,frc2771,
