Rank,Team,Played,Seeding Score,Coopertition Bonus,Hanging Points
1,1086,9,143.00,46.00,0
2,1519,9,134.00,44.00,0
3,122,9,126.00,42.00,0
4,1772,9,124.00,48.00,0
5,2614,9,122.00,48.00,8.00
6,2483,9,122.00,48.00,0
7,2228,9,119.00,36.00,0
8,379,9,114.00,34.00,8.00
9,449,9,111.00,36.00,2.00
10,3402,9,108.00,34.00,4.00
11,1902,9,108.00,28.00,10.00
12,337,9,107.00,42.00,10.00
13,1598,9,107.00,38.00,2.00
14,587,9,105.00,48.00,4.00
15,2642,9,102.00,28.00,4.00
16,2415,9,102.00,28.00,2.00
17,48,9,100.00,36.00,4.00
18,435,9,100.00,32.00,4.00
19,3336,9,100.00,24.00,4.00
20,79,9,98.00,28.00,8.00
21,1811,9,97.00,34.00,6.00
22,2540,9,96.00,32.00,4.00
23,1249,9,94.00,12.00,2.00
24,21,9,93.00,30.00,0
25,1319,9,92.00,22.00,4.00
26,3394,9,88.00,22.00,4.00
27,2655,9,86.00,24.00,4.00
28,2640,8,83.00,24.00,2.00
29,900,9,81.00,24.00,12.00
30,1741,9,80.00,20.00,2.00
31,832,8,79.00,18.00,0
32,393,9,78.00,24.00,4.00
33,3331,9,77.00,12.00,4.00
34,401,7,74.00,14.00,2.00
35,3185,9,74.00,12.00,2.00
36,3346,8,73.00,12.00,2.00
37,3229,9,73.00,6.00,2.00
38,3259,9,69.00,18.00,2.00
39,1533,9,68.00,16.00,2.00
40,539,9,67.00,16.00,2.00
41,2108,9,67.00,14.00,4.00
42,3215,8,63.00,10.00,2.00
43,3196,8,56.00,14.00,6.00
44,1311,9,46.00,4.00,0
