2010sj_0,Regional Chairman's Award,frc115,
2010sj_1,Winner,frc971,
2010sj_1,Winner,frc254,
2010sj_1,Winner,frc649,
2010sj_10,Rookie All Star Award,frc3129,
2010sj_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1323,
2010sj_12,Coopertition Award,frc971,
2010sj_13,Judges Award,frc1834,
2010sj_14,Highest Rookie Seed,frc3129,
2010sj_15,Rookie Inspiration Award,frc3156,
2010sj_16,Industrial Design sponsored by General Motors,frc254,
2010sj_17,Quality Award sponsored by Motorola,frc3256,
2010sj_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc3256,
2010sj_2,Finalist,frc1868,
2010sj_2,Finalist,frc100,
2010sj_2,Finalist,frc675,
2010sj_20,Creativity Award sponsored by Xerox,frc675,
2010sj_21,Engineering Excellence Award sponsored by Delphi,frc100,
2010sj_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc1351,
2010sj_23,Excellence in Design Award sponsored by Autodesk,frc100,
2010sj_27,Imagery Award in honor of Jack Kamen,frc701,
2010sj_29,Innovation in Control Award sponsored by Rockwell Automation,frc1280,
2010sj_3,Woodie Flowers Award,frc701,Doug Green
2010sj_30,Team Spirit Award sponsored by Chrysler,frc1868,
2010sj_31,Website Award,frc100,
2010sj_4,FIRST Dean's List Finalist Award,frc604,Eugene Fang
2010sj_4,FIRST Dean's List Finalist Award,frc2489,Anne Liu
2010sj_5,Outstanding Volunteer of the Year,,John & Maggie Best
2010sj_9,Engineering Inspiration,frc604,
