Rank,Team,Wins,Losses,Ties,Played,QS,RS
1,768,9,1,0,10,18.00,34.90
2,623,9,1,0,10,18.00,26.10
3,2016,9,1,0,10,18.00,24.50
4,63,9,1,0,10,18.00,23.60
5,233,8,2,0,10,16.00,31.80
6,2590,8,2,0,10,16.00,28.50
7,449,8,2,0,10,16.00,26.50
8,1279,7,3,0,10,14.00,29.90
9,2077,7,3,0,10,14.00,27.90
10,378,7,3,0,10,14.00,24.40
11,1089,7,2,0,9,14.00,22.20
12,293,7,3,0,10,14.00,19.60
13,1418,7,3,0,10,14.00,19.40
14,1885,7,3,0,10,14.00,18.40
15,619,7,3,0,10,14.00,15.80
16,1511,6,4,0,10,12.00,30.80
17,116,6,3,0,9,12.00,26.80
18,56,6,4,0,10,12.00,26.40
19,578,6,4,0,10,12.00,23.00
20,190,6,4,0,10,12.00,22.80
21,3455,6,4,0,10,12.00,18.40
22,1708,6,4,0,10,12.00,16.10
23,611,6,4,0,10,12.00,14.80
24,1123,6,4,0,10,12.00,4.20
25,614,5,4,1,10,11.00,18.10
26,945,5,5,0,10,10.00,31.90
27,2534,5,5,0,10,10.00,25.30
28,1727,5,5,0,10,10.00,23.60
29,1598,5,5,0,10,10.00,19.70
30,3504,5,5,0,10,10.00,17.40
31,1872,5,4,0,9,10.00,15.60
32,2377,5,5,0,10,10.00,12.10
33,620,5,5,0,10,10.00,7.50
34,839,4,5,1,10,9.00,23.80
35,2911,4,4,0,8,8.00,20.00
36,2964,4,5,0,9,8.00,19.10
37,2421,4,6,0,10,8.00,17.50
38,3283,4,6,0,10,8.00,17.20
39,2914,4,5,0,9,8.00,16.10
40,612,4,6,0,10,8.00,14.70
41,2121,4,6,0,10,8.00,13.90
42,2642,4,6,0,10,8.00,12.00
43,3246,4,6,0,10,8.00,10.40
44,3279,4,5,0,9,8.00,10.10
45,2912,4,5,0,9,8.00,9.00
46,2537,3,6,1,10,7.00,17.50
47,1086,3,4,1,8,7.00,14.90
48,53,3,6,1,10,7.00,13.80
49,1915,3,6,1,10,7.00,8.60
50,2961,3,6,0,9,6.00,19.20
51,2849,3,7,0,10,6.00,16.10
52,346,3,6,0,9,6.00,15.40
53,2963,3,5,0,8,6.00,12.60
54,1446,3,6,0,9,6.00,8.80
55,2819,2,6,2,10,6.00,8.00
56,3558,3,6,0,9,6.00,7.90
57,3123,2,7,1,10,5.00,17.10
58,2900,2,7,1,10,5.00,13.00
59,2186,2,8,0,10,4.00,10.30
60,3594,1,8,1,10,3.00,16.10
61,1849,1,8,0,9,2.00,14.40
62,433,1,8,0,9,2.00,13.60
63,2962,0,8,0,8,0,13.40
