2011li_0,Regional Chairman's Award,frc329,
2011li_1,Winner,frc1626,
2011li_1,Winner,frc229,
2011li_1,Winner,frc375,
2011li_10,Rookie All Star Award,frc3624,
2011li_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc353,
2011li_12,Coopertition Award,frc353,
2011li_13,Judges Award,frc810,
2011li_14,Highest Rookie Seed,frc3474,
2011li_15,Rookie Inspiration Award,frc3460,
2011li_16,Industrial Design sponsored by General Motors,frc1468,
2011li_17,Quality Award sponsored by Motorola,frc229,
2011li_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc2638,
2011li_2,Finalist,frc271,
2011li_2,Finalist,frc287,
2011li_2,Finalist,frc564,
2011li_20,Creativity Award sponsored by Xerox,frc1796,
2011li_21,Engineering Excellence Award sponsored by Delphi,frc358,
2011li_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc3171,
2011li_27,Imagery Award in honor of Jack Kamen,frc522,
2011li_29,Innovation in Control Award sponsored by Rockwell Automation,frc271,
2011li_3,Woodie Flowers Award,frc564,Roy Powell
2011li_30,Team Spirit Award sponsored by Chrysler,frc564,
2011li_31,Website Award,frc522,
2011li_4,FIRST Dean's List Finalist Award,frc1468,Stephen Kelly
2011li_4,FIRST Dean's List Finalist Award,frc2638,Joshua Graber
2011li_5,Outstanding Volunteer of the Year,,Stephanie Stern and Chris Foley
2011li_9,Engineering Inspiration,frc884,
