Rank,Team,QS,HP,BP,TP,CP,Record (W-L-T),DQ,Played
1,107,27.00,48.00,110.00,37.00,10,8-3-1,0,12
2,4003,25.00,59.00,70.00,45.00,6,9-2-1,0,12
3,3618,24.00,154.00,80.00,58.00,2,11-1-0,0,12
4,3234,24.00,99.00,40.00,112.00,6,8-2-2,0,12
5,1711,23.00,45.00,90.00,64.00,7,8-4-0,0,12
6,3617,23.00,22.00,110.00,54.00,10,6-5-1,0,12
7,4363,22.00,73.00,40.00,66.00,8,7-5-0,0,12
8,2246,22.00,6.00,130.00,38.00,8,6-4-2,0,12
9,3602,21.00,18.00,60.00,55.00,12,4-7-1,0,12
10,2474,20.00,97.00,30.00,187.00,2,9-3-0,0,12
11,1076,20.00,54.00,70.00,73.00,8,6-6-0,0,12
12,4392,20.00,24.00,70.00,97.00,6,7-5-0,0,12
13,4398,20.00,23.00,90.00,69.00,4,8-4-0,0,12
14,2586,19.00,74.00,60.00,84.00,8,5-6-1,0,12
15,141,19.00,52.00,70.00,50.00,4,7-4-1,0,12
16,3509,19.00,43.00,40.00,52.00,5,7-5-0,0,12
17,904,18.00,70.00,70.00,87.00,2,8-4-0,0,12
18,66,18.00,50.00,20.00,65.00,8,4-6-2,0,12
19,3357,17.00,128.00,40.00,110.00,0,8-3-1,0,12
20,2145,17.00,47.00,50.00,33.00,3,7-5-0,0,12
21,3537,16.00,51.00,60.00,114.00,2,7-5-0,0,12
22,835,16.00,42.00,20.00,63.00,4,6-6-0,0,12
23,830,16.00,24.00,70.00,49.00,4,5-5-2,0,12
24,1596,15.00,64.00,50.00,20.00,4,5-5-1,1,12
25,857,15.00,53.00,40.00,46.00,5,5-7-0,0,12
26,2075,14.00,67.00,80.00,62.00,5,4-7-1,0,12
27,4376,14.00,33.00,60.00,53.00,5,4-7-1,0,12
28,3767,14.00,30.00,30.00,40.00,4,5-7-0,0,12
29,4375,14.00,27.00,70.00,56.00,4,4-6-2,0,12
30,201,13.00,69.00,30.00,60.00,2,5-6-1,0,12
31,1896,13.00,44.00,10.00,54.00,6,3-7-1,1,12
32,3639,12.00,59.00,20.00,54.00,2,5-7-0,0,12
33,3772,11.00,51.00,50.00,39.00,0,5-6-1,0,12
34,4391,11.00,50.00,50.00,65.00,4,3-8-1,0,12
35,74,10.00,52.00,50.00,63.00,2,4-8-0,0,12
36,3603,9.00,54.00,50.00,55.00,2,3-8-1,0,12
37,2153,9.00,29.00,40.00,58.00,2,3-8-1,0,12
38,4377,8.00,34.00,70.00,48.00,2,2-8-2,0,12
39,3688,7.00,36.00,60.00,46.00,2,2-9-1,0,12
40,2245,7.00,30.00,20.00,40.00,6,0-9-1,2,12
