2012nj_0,Regional Chairman's Award,frc11,
2012nj_1,Regional Winners,frc56,
2012nj_1,Regional Winners,frc1370,
2012nj_1,Regional Winners,frc1676,
2012nj_10,Rookie All Star Award,frc4347,
2012nj_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc2016,
2012nj_12,Coopertition Award,frc1989,
2012nj_13,Judges' Award,frc1881,
2012nj_14,Highest Rookie Seed,frc4128,
2012nj_15,Rookie Inspiration Award,frc4281,
2012nj_16,Industrial Design Award sponsored by General Motors,frc869,
2012nj_17,Quality Award sponsored by Motorola,frc1403,
2012nj_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc75,
2012nj_2,Regional Finalists,frc1403,
2012nj_2,Regional Finalists,frc2016,
2012nj_2,Regional Finalists,frc3515,
2012nj_2,Regional Finalists,frc203,
2012nj_20,Creativity Award sponsored by Xerox,frc3314,
2012nj_21,Engineering Excellence Award sponsored by Delphi,frc219,
2012nj_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc1676,
2012nj_27,Imagery Award in honor of Jack Kamen,frc3340,
2012nj_29,Innovation in Control Award sponsored by Rockwell Automation,frc3142,
2012nj_30,Team Spirit Award sponsored by Chrysler,frc203,
2012nj_31,Website Award,frc11,
2012nj_9,Engineering Inspiration Award,frc75,
