2013midet_0,District Chairman's Award,frc2834,
2013midet_1,District Winners,frc2676,
2013midet_1,District Winners,frc2851,
2013midet_1,District Winners,frc469,
2013midet_10,Rookie All Star Award,frc4680,
2013midet_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc280,
2013midet_13,Judges' Award,frc2832,
2013midet_14,Highest Rookie Seed,frc4815,
2013midet_15,Rookie Inspiration Award,frc4815,
2013midet_16,Industrial Design Award sponsored by General Motors,frc1023,
2013midet_17,Quality Award sponsored by Motorola,frc1701,
2013midet_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc2834,
2013midet_2,District Finalists,frc4838,
2013midet_2,District Finalists,frc314,
2013midet_2,District Finalists,frc1701,
2013midet_20,Creativity Award sponsored by Xerox,frc94,
2013midet_21,Excellence in Engineering Award sponsored by Delphi,frc469,
2013midet_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc910,
2013midet_27,Imagery Award in honor of Jack Kamen,frc3542,
2013midet_29,Innovation in Control Award sponsored by Rockwell Automation,frc123,
2013midet_30,Team Spirit Award sponsored by Chrysler,frc1189,
2013midet_9,Engineering Inspiration Award,frc314,
