Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,33,24.00,568.00,210.00,640.00,12-0-0,0,12
2,2619,22.00,356.00,200.00,558.00,11-1-0,0,12
3,1684,20.00,362.00,270.00,526.00,10-2-0,0,12
4,573,20.00,340.00,190.00,573.00,10-2-0,0,12
5,1718,20.00,322.00,250.00,716.00,10-2-0,0,12
6,245,18.00,336.00,190.00,623.00,9-3-0,0,12
7,2145,18.00,262.00,260.00,595.00,9-3-0,0,12
8,703,16.00,372.00,250.00,388.00,8-4-0,0,12
9,4405,16.00,332.00,220.00,380.00,8-4-0,0,12
10,1504,16.00,290.00,260.00,494.00,8-4-0,0,12
11,2612,14.00,382.00,210.00,523.00,7-5-0,0,12
12,3322,14.00,338.00,110.00,399.00,7-5-0,0,12
13,3535,14.00,248.00,210.00,330.00,7-5-0,0,12
14,51,12.00,394.00,230.00,499.00,6-6-0,0,12
15,3570,12.00,306.00,220.00,416.00,6-6-0,0,12
16,894,12.00,300.00,180.00,357.00,6-6-0,0,12
17,3098,12.00,290.00,240.00,408.00,6-6-0,0,12
18,4810,12.00,262.00,120.00,454.00,6-6-0,0,12
19,3534,12.00,258.00,240.00,363.00,6-6-0,0,12
20,4375,12.00,224.00,160.00,308.00,6-6-0,0,12
21,1025,12.00,190.00,360.00,320.00,6-6-0,0,12
22,247,10.00,390.00,200.00,256.00,5-7-0,0,12
23,2604,10.00,308.00,140.00,292.00,5-7-0,0,12
24,1322,10.00,234.00,170.00,260.00,5-7-0,0,12
25,66,10.00,234.00,150.00,379.00,5-7-0,0,12
26,4827,10.00,206.00,260.00,255.00,5-7-0,0,12
27,3415,10.00,172.00,170.00,241.00,5-7-0,0,12
28,4382,8.00,336.00,180.00,340.00,4-8-0,0,12
29,302,8.00,314.00,110.00,297.00,4-8-0,0,12
30,3536,8.00,274.00,110.00,235.00,4-8-0,0,12
31,3620,8.00,270.00,230.00,295.00,4-8-0,0,12
32,4327,8.00,258.00,130.00,374.00,4-8-0,0,12
33,3568,8.00,218.00,210.00,338.00,4-8-0,0,12
34,4839,8.00,192.00,230.00,274.00,4-8-0,0,12
35,3617,8.00,190.00,160.00,289.00,4-8-0,0,12
36,548,6.00,286.00,100.00,325.00,3-9-0,0,12
37,3667,6.00,256.00,230.00,343.00,3-9-0,0,12
38,4507,6.00,210.00,130.00,271.00,3-9-0,0,12
39,3302,6.00,180.00,120.00,292.00,3-9-0,0,12
40,1506,4.00,224.00,220.00,188.00,2-10-0,0,12
