Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3056,18.00,202.00,200.00,152.00,9-1-0,0,10
2,3130,16.00,228.00,240.00,207.00,8-2-0,0,10
3,2169,16.00,216.00,120.00,559.00,8-2-0,0,10
4,2826,16.00,212.00,150.00,338.00,8-2-0,0,10
5,876,16.00,192.00,270.00,170.00,8-2-0,0,10
6,2512,16.00,166.00,100.00,390.00,8-2-0,0,10
7,2518,16.00,122.00,180.00,277.00,8-2-0,0,10
8,2175,14.00,168.00,80.00,221.00,7-3-0,0,10
9,4624,14.00,152.00,120.00,258.00,7-3-0,0,10
10,4623,14.00,146.00,110.00,282.00,7-3-0,0,10
11,2502,12.00,236.00,140.00,242.00,6-4-0,0,10
12,525,12.00,214.00,210.00,248.00,6-4-0,0,10
13,269,12.00,162.00,110.00,317.00,6-4-0,0,10
14,3184,12.00,154.00,70.00,213.00,6-4-0,0,10
15,3839,12.00,94.00,100.00,248.00,6-4-0,0,10
16,2957,12.00,54.00,160.00,185.00,6-4-0,0,10
17,3061,10.00,190.00,120.00,162.00,5-5-0,0,10
18,1259,10.00,168.00,140.00,144.00,5-5-0,0,10
19,4762,10.00,160.00,140.00,225.00,5-5-0,0,10
20,2499,10.00,150.00,170.00,182.00,5-5-0,0,10
21,4656,10.00,132.00,140.00,240.00,5-5-0,0,10
22,3723,10.00,104.00,210.00,153.00,5-5-0,0,10
23,4174,10.00,96.00,170.00,117.00,5-5-0,0,10
24,3750,10.00,96.00,150.00,193.00,5-5-0,0,10
25,4506,10.00,96.00,110.00,227.00,5-5-0,0,10
26,3871,10.00,92.00,160.00,163.00,5-5-0,0,10
27,4693,10.00,66.00,60.00,102.00,5-5-0,0,10
28,3036,10.00,58.00,130.00,236.00,5-5-0,0,10
29,1675,8.00,128.00,200.00,251.00,4-6-0,0,10
30,2530,8.00,122.00,70.00,186.00,4-6-0,0,10
31,4166,8.00,110.00,170.00,199.00,4-6-0,0,10
32,27,8.00,102.00,40.00,290.00,4-6-0,0,10
33,3293,8.00,92.00,370.00,146.00,4-6-0,0,10
34,3751,8.00,86.00,70.00,195.00,4-6-0,0,10
35,2846,8.00,82.00,130.00,80.00,4-6-0,0,10
36,4674,8.00,70.00,130.00,239.00,4-6-0,0,10
37,3267,8.00,38.00,150.00,190.00,4-6-0,0,10
38,2861,6.00,150.00,170.00,198.00,3-7-0,0,10
39,2503,6.00,86.00,100.00,148.00,3-7-0,0,10
40,2500,6.00,84.00,140.00,104.00,3-7-0,0,10
41,3055,6.00,84.00,110.00,137.00,3-7-0,0,10
42,4657,6.00,72.00,110.00,150.00,3-7-0,0,10
43,2491,6.00,70.00,140.00,108.00,3-7-0,0,10
44,4480,4.00,86.00,60.00,94.00,2-8-0,0,10
45,4671,4.00,76.00,50.00,125.00,2-8-0,0,10
46,877,4.00,34.00,90.00,69.00,2-8-0,0,10
47,3081,2.00,78.00,70.00,118.00,1-9-0,0,10
