2013njbrg_0,Regional Chairman's Award,frc11,
2013njbrg_1,Regional Winners,frc714,
2013njbrg_1,Regional Winners,frc1676,
2013njbrg_1,Regional Winners,frc3314,
2013njbrg_10,Rookie All Star Award,frc4460,
2013njbrg_11,Gracious Professionalism� Award sponsored by Johnson & Johnson,frc3637,
2013njbrg_13,Judges' Award,frc4573,
2013njbrg_14,Highest Rookie Seed,frc4475,
2013njbrg_15,Rookie Inspiration Award,frc4454,
2013njbrg_16,Industrial Design Award sponsored by General Motors,frc1391,
2013njbrg_17,Quality Award sponsored by Motorola,frc714,
2013njbrg_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc4460,
2013njbrg_2,Regional Finalists,frc4361,
2013njbrg_2,Regional Finalists,frc193,
2013njbrg_2,Regional Finalists,frc2607,
2013njbrg_20,Creativity Award sponsored by Xerox,frc4475,
2013njbrg_21,Excellence in Engineering Award sponsored by Delphi,frc2016,
2013njbrg_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc1676,
2013njbrg_27,Imagery Award in honor of Jack Kamen,frc1228,
2013njbrg_29,Innovation in Control Award sponsored by Rockwell Automation,frc2607,
2013njbrg_30,Team Spirit Award sponsored by Chrysler,frc4281,
2013njbrg_9,Engineering Inspiration Award,frc75,
