2013njlen_0,District Chairman's Award,frc2729,
2013njlen_1,District Winners,frc316,
2013njlen_1,District Winners,frc2729,
2013njlen_1,District Winners,frc2495,
2013njlen_10,Rookie All Star Award,frc4575,
2013njlen_11,Gracious Professionalism� Award sponsored by Johnson & Johnson,frc3151,
2013njlen_14,Highest Rookie Seed,frc4575,
2013njlen_15,Rookie Inspiration Award,frc4750,
2013njlen_16,Industrial Design Award sponsored by General Motors,frc1403,
2013njlen_17,Quality Award sponsored by Motorola,frc316,
2013njlen_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc203,
2013njlen_2,District Finalists,frc1089,
2013njlen_2,District Finalists,frc433,
2013njlen_2,District Finalists,frc365,
2013njlen_20,Creativity Award sponsored by Xerox,frc1168,
2013njlen_21,Excellence in Engineering Award sponsored by Delphi,frc293,
2013njlen_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc433,
2013njlen_27,Imagery Award in honor of Jack Kamen,frc365,
2013njlen_29,Innovation in Control Award sponsored by Rockwell Automation,frc225,
2013njlen_30,Team Spirit Award sponsored by Chrysler,frc203,
2013njlen_9,Engineering Inspiration Award,frc321,
