Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,3015,18.00,202.00,160.00,326.00,9-0-0,0,9
2,3173,16.00,100.00,80.00,443.00,8-1-0,0,9
3,250,14.00,206.00,190.00,173.00,7-2-0,0,9
4,1405,14.00,182.00,200.00,196.00,7-2-0,0,9
5,191,14.00,178.00,100.00,375.00,7-2-0,0,9
6,3003,14.00,174.00,160.00,218.00,7-2-0,0,9
7,48,14.00,156.00,150.00,268.00,7-2-0,0,9
8,1450,12.00,206.00,110.00,184.00,6-3-0,0,9
9,1507,12.00,194.00,120.00,235.00,6-3-0,0,9
10,4203,12.00,150.00,130.00,136.00,6-3-0,0,9
11,772,12.00,130.00,120.00,197.00,6-3-0,0,9
12,1585,12.00,128.00,70.00,131.00,6-3-0,0,9
13,340,12.00,114.00,240.00,134.00,6-3-0,0,9
14,3838,10.00,212.00,130.00,158.00,5-4-0,0,9
15,1551,10.00,156.00,130.00,200.00,5-4-0,0,9
16,1111,10.00,144.00,130.00,100.00,5-4-0,0,9
17,1155,10.00,138.00,110.00,161.00,5-4-0,0,9
18,888,10.00,120.00,140.00,155.00,5-4-0,0,9
19,3181,10.00,118.00,90.00,317.00,5-4-0,0,9
20,2809,10.00,110.00,110.00,242.00,5-4-0,0,9
21,3687,10.00,102.00,210.00,112.00,5-4-0,0,9
22,3799,10.00,100.00,110.00,120.00,5-4-0,0,9
23,4071,10.00,82.00,150.00,224.00,5-4-0,0,9
24,1126,10.00,78.00,150.00,178.00,5-4-0,0,9
25,145,8.00,198.00,150.00,162.00,4-5-0,0,9
26,578,8.00,136.00,80.00,111.00,4-5-0,0,9
27,378,8.00,132.00,150.00,117.00,4-5-0,0,9
28,2228,8.00,132.00,70.00,143.00,4-5-0,0,9
29,4508,8.00,118.00,190.00,83.00,4-5-0,0,9
30,1765,8.00,114.00,100.00,172.00,4-5-0,0,9
31,4505,8.00,110.00,170.00,100.00,4-5-0,0,9
32,174,8.00,104.00,70.00,155.00,4-5-0,0,9
33,639,8.00,100.00,140.00,161.00,4-5-0,0,9
34,1591,8.00,96.00,80.00,79.00,4-5-0,0,9
35,176,8.00,86.00,130.00,249.00,4-5-0,0,9
36,2265,8.00,74.00,90.00,114.00,4-5-0,0,9
37,1559,6.00,142.00,90.00,123.00,3-6-0,0,9
38,3842,6.00,120.00,190.00,111.00,3-6-0,0,9
39,4093,6.00,104.00,100.00,138.00,3-6-0,0,9
40,1511,6.00,96.00,80.00,193.00,3-6-0,0,9
41,3157,6.00,90.00,100.00,165.00,3-6-0,0,9
42,156,6.00,86.00,130.00,59.00,3-6-0,0,9
43,451,6.00,82.00,70.00,114.00,3-6-0,0,9
44,2340,6.00,78.00,120.00,112.00,3-6-0,0,9
45,3951,4.00,120.00,130.00,96.00,2-7-0,0,9
46,1518,2.00,116.00,100.00,45.00,1-7-0,1,9
47,4023,2.00,58.00,20.00,121.00,1-6-0,2,9
48,73,2.00,54.00,90.00,88.00,1-8-0,0,9
49,907,0,56.00,80.00,94.00,0-9-0,0,9
