Rank,Team,QS,AP,CP,TP,Record (W-L-T),DQ,Played
1,359,18.00,256.00,140.00,475.00,9-1-0,0,10
2,192,16.00,226.00,100.00,331.00,8-2-0,0,10
3,1569,16.00,194.00,110.00,336.00,8-2-0,0,10
4,3289,16.00,152.00,160.00,154.00,8-2-0,0,10
5,1332,14.00,240.00,120.00,218.00,7-3-0,0,10
6,3245,14.00,196.00,130.00,276.00,7-3-0,0,10
7,1891,14.00,190.00,230.00,155.00,7-3-0,0,10
8,2484,14.00,150.00,130.00,172.00,7-3-0,0,10
9,3288,14.00,146.00,140.00,219.00,7-3-0,0,10
10,4153,12.00,196.00,170.00,228.00,6-4-0,0,10
11,3483,12.00,180.00,120.00,200.00,6-4-0,0,10
12,3009,12.00,166.00,60.00,166.00,6-4-0,0,10
13,3374,12.00,154.00,140.00,155.00,6-4-0,0,10
14,2594,12.00,126.00,90.00,179.00,6-4-0,0,10
15,4268,12.00,112.00,110.00,219.00,6-4-0,0,10
16,3216,12.00,90.00,140.00,260.00,6-4-0,0,10
17,4086,11.00,248.00,70.00,190.00,5-4-1,0,10
18,1566,11.00,166.00,120.00,186.00,5-4-1,0,10
19,3243,11.00,120.00,140.00,105.00,5-4-1,0,10
20,3405,10.00,184.00,110.00,184.00,5-5-0,0,10
21,3241,10.00,140.00,140.00,122.00,5-5-0,0,10
22,3334,10.00,118.00,70.00,196.00,5-5-0,0,10
23,3230,10.00,116.00,160.00,160.00,5-5-0,0,10
24,4596,10.00,112.00,150.00,159.00,5-5-0,0,10
25,3251,9.00,108.00,140.00,168.00,4-5-1,0,10
26,4106,8.00,218.00,130.00,101.00,4-6-0,0,10
27,3562,8.00,174.00,180.00,139.00,4-6-0,0,10
28,2122,8.00,148.00,150.00,212.00,4-6-0,0,10
29,4175,8.00,130.00,80.00,139.00,4-6-0,0,10
30,3006,8.00,124.00,110.00,104.00,4-6-0,0,10
31,1410,8.00,102.00,80.00,180.00,4-6-0,0,10
32,812,8.00,92.00,150.00,154.00,4-6-0,0,10
33,4310,8.00,88.00,100.00,127.00,4-6-0,0,10
34,3239,7.00,184.00,110.00,106.00,3-6-1,0,10
35,2993,6.00,172.00,80.00,107.00,3-7-0,0,10
36,4585,6.00,124.00,80.00,193.00,3-7-0,0,10
37,4598,6.00,114.00,60.00,136.00,3-7-0,0,10
38,4178,6.00,108.00,50.00,136.00,3-7-0,0,10
39,4348,6.00,106.00,70.00,137.00,3-6-0,1,10
40,3225,6.00,74.00,50.00,120.00,3-7-0,0,10
41,2898,6.00,62.00,80.00,167.00,3-6-0,1,10
42,4251,5.00,102.00,70.00,122.00,2-7-1,0,10
43,988,4.00,86.00,90.00,90.00,2-8-0,0,10
44,4344,4.00,80.00,60.00,177.00,2-7-0,1,10
