Rank,Team,QS,Assist,Auto,T&C,G&F,Record (W-L-T),DQ,Played
1,1678,13,350,351,190,183,6-1-1,0,8
2,2122,12,280,331,220,223,6-2-0,0,8
3,1671,11,220,270,120,219,5-2-1,0,8
4,841,10,220,171,70,187,5-3-0,0,8
5,701,10,180,201,100,100,5-3-0,0,8
6,2073,10,160,256,170,135,5-3-0,0,8
7,3250,10,150,236,90,165,5-3-0,0,8
8,3598,10,110,216,80,114,5-3-0,0,8
9,2643,10,40,161,90,108,5-3-0,0,8
10,212,8,170,325,160,251,4-4-0,0,8
11,4498,8,130,246,90,151,4-4-0,0,8
12,9671,8,110,212,120,205,4-4-0,0,8
13,2085,6,260,292,110,141,3-4-0,1,8
14,9678,6,180,203,50,84,3-5-0,0,8
15,9498,6,90,170,60,175,3-5-0,0,8
16,295,5,170,196,80,121,2-5-1,0,8
17,692,5,60,156,80,90,2-5-1,0,8
18,9841,4,0,46,30,113,2-2-0,4,8
19,4643,3,30,222,80,101,1-6-1,0,8
20,9073,1,30,196,40,102,0-7-1,0,8
