2014mimid_0,District Chairman's Award,frc2137,
2014mimid_1,Winner,frc288,
2014mimid_1,Winner,frc68,
2014mimid_1,Winner,frc4819,
2014mimid_1,Winner,frc5166,
2014mimid_10,Rookie All Star Award,frc5155,
2014mimid_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc703,
2014mimid_13,Judges Award,frc2619,
2014mimid_14,Highest Rookie Seed Award,frc5282,
2014mimid_15,Rookie Inspiration Award,frc5216,
2014mimid_16,Industrial Design Award sponsored by General Motors,frc68,
2014mimid_17,Quality Award sponsored by Motorola,frc66,
2014mimid_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc4381,
2014mimid_2,Finalist,frc5231,
2014mimid_2,Finalist,frc1243,
2014mimid_2,Finalist,frc2145,
2014mimid_20,Creativity Award sponsored by Xerox,frc4819,
2014mimid_21,Excellence in Engineering Award sponsored by Delphi,frc33,
2014mimid_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2834,
2014mimid_27,Imagery Award in honor of Jack Kamen,frc4381,
2014mimid_29,Innovation in Control Award sponsored by Rockwell Automation,frc1243,
2014mimid_30,Team Spirit Award sponsored by Chrysler,frc3770,
2014mimid_9,Engineering Inspiration,frc302,
