Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,4039,24.00,750.00,583.00,320.00,720.00,12-1-0,0,13
2,254,22.00,860.00,766.00,320.00,761.00,11-2-0,0,13
3,1114,22.00,640.00,622.00,470.00,867.00,11-2-0,0,13
4,2056,20.00,710.00,648.00,370.00,485.00,10-3-0,0,13
5,4917,20.00,370.00,596.00,380.00,616.00,10-3-0,0,13
6,3683,18.00,610.00,520.00,460.00,663.00,9-4-0,0,13
7,781,16.00,590.00,530.00,330.00,779.00,8-5-0,0,13
8,1285,16.00,530.00,548.00,290.00,593.00,8-5-0,0,13
9,2609,16.00,490.00,399.00,330.00,435.00,8-5-0,0,13
10,3161,14.00,650.00,468.00,250.00,519.00,7-6-0,0,13
11,1241,14.00,550.00,447.00,310.00,656.00,7-6-0,0,13
12,4678,14.00,350.00,547.00,350.00,588.00,7-6-0,0,13
13,5039,14.00,310.00,382.00,310.00,736.00,7-6-0,0,13
14,4069,12.00,530.00,530.00,170.00,598.00,6-7-0,0,13
15,4777,12.00,400.00,502.00,120.00,658.00,6-7-0,0,13
16,4519,12.00,400.00,494.00,150.00,467.00,6-7-0,0,13
17,4732,12.00,300.00,444.00,280.00,510.00,6-7-0,0,13
18,4907,12.00,280.00,412.00,240.00,693.00,6-7-0,0,13
19,1334,10.00,510.00,458.00,250.00,328.00,5-8-0,0,13
20,4992,10.00,390.00,417.00,280.00,304.00,5-8-0,0,13
21,2702,10.00,190.00,415.00,140.00,345.00,5-8-0,0,13
22,4525,8.00,380.00,499.00,190.00,360.00,4-9-0,0,13
23,3756,8.00,330.00,407.00,120.00,353.00,4-9-0,0,13
24,865,8.00,280.00,383.00,200.00,522.00,4-9-0,0,13
25,771,8.00,270.00,412.00,210.00,498.00,4-9-0,0,13
26,5033,8.00,220.00,314.00,100.00,612.00,4-9-0,0,13
27,4943,8.00,180.00,398.00,180.00,518.00,4-9-0,0,13
28,1305,8.00,180.00,346.00,240.00,308.00,4-9-0,0,13
29,5032,8.00,140.00,420.00,210.00,361.00,4-9-0,0,13
30,3949,6.00,180.00,433.00,140.00,479.00,3-10-0,0,13
