2014txlu_0,Regional Chairman's Award,frc2468,
2014txlu_1,Regional Winner,frc1817,
2014txlu_1,Regional Winner,frc2468,
2014txlu_1,Regional Winner,frc5320,
2014txlu_10,Rookie All Star Award,frc5304,
2014txlu_11,Gracious Professionalism? Award sponsored by Johnson & Johnson,frc1164,
2014txlu_13,Judges Award,frc3741,
2014txlu_14,Highest Rookie Seed Award,frc5302,
2014txlu_15,Rookie Inspiration Award,frc5047,
2014txlu_16,Industrial Design Award sponsored by General Motors,frc1817,
2014txlu_17,Quality Award sponsored by Motorola,frc4183,
2014txlu_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc1817,
2014txlu_2,Regional Finalist,frc4153,
2014txlu_2,Regional Finalist,frc4063,
2014txlu_2,Regional Finalist,frc1801,
2014txlu_20,Creativity Award sponsored by Xerox,frc3417,
2014txlu_21,Excellence in Engineering Award sponsored by Delphi,frc192,
2014txlu_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2468,
2014txlu_27,Imagery Award in honor of Jack Kamen,frc4063,
2014txlu_29,Innovation in Control Award sponsored by Rockwell Automation,frc245,
2014txlu_3,Woodie Flowers Finalist Award,frc1817,George Tan
2014txlu_30,Team Spirit Award sponsored by Chrysler,frc245,
2014txlu_4,FIRST Dean's List Finalist,frc2468,Michael Keim
2014txlu_4,FIRST Dean's List Finalist,frc4063,Maricarmen Del Toro
2014txlu_5,Volunteer of the Year,,Carol Reid
2014txlu_9,Engineering Inspiration,frc4063,
