Rank,Team,QS,ASSIST,AUTO,T&C,TELEOP,Record (W-L-T),DQ,PLAYED
1,1918,14.00,380.00,380.00,120.00,296.00,7-1-0,0,8
2,5162,14.00,280.00,430.00,90.00,227.00,7-1-0,0,8
3,3546,14.00,180.00,285.00,80.00,113.00,7-1-0,0,8
4,4956,12.00,470.00,335.00,150.00,136.00,6-2-0,0,8
5,3572,12.00,420.00,400.00,120.00,179.00,6-2-0,0,8
6,4967,12.00,380.00,390.00,130.00,198.00,6-2-0,0,8
7,3547,10.00,360.00,295.00,110.00,153.00,5-3-0,0,8
8,2959,10.00,350.00,350.00,170.00,210.00,5-3-0,0,8
9,2054,10.00,330.00,320.00,200.00,161.00,5-3-0,0,8
10,3620,10.00,250.00,370.00,90.00,157.00,5-3-0,0,8
11,74,10.00,230.00,275.00,150.00,187.00,5-3-0,0,8
12,4482,8.00,360.00,250.00,120.00,199.00,4-4-0,0,8
13,904,8.00,340.00,275.00,150.00,119.00,4-4-0,0,8
14,107,8.00,240.00,335.00,110.00,192.00,4-4-0,0,8
15,2075,8.00,220.00,330.00,50.00,135.00,4-4-0,0,8
16,141,6.00,270.00,325.00,80.00,110.00,3-5-0,0,8
17,2474,6.00,200.00,425.00,140.00,166.00,3-5-0,0,8
18,4003,6.00,190.00,350.00,80.00,102.00,3-5-0,0,8
19,4004,6.00,160.00,330.00,100.00,99.00,3-5-0,0,8
20,2767,6.00,140.00,380.00,70.00,53.00,3-5-0,1,8
21,2771,6.00,140.00,295.00,100.00,63.00,3-5-0,0,8
22,3357,6.00,110.00,230.00,80.00,32.00,3-5-0,0,8
23,3234,4.00,250.00,355.00,130.00,67.00,2-6-0,0,8
24,85,4.00,250.00,315.00,140.00,75.00,2-6-0,0,8
25,2405,4.00,100.00,270.00,10.00,55.00,2-6-0,0,8
26,1502,4.00,90.00,290.00,40.00,128.00,2-6-0,0,8
27,2013,4.00,90.00,285.00,90.00,67.00,2-5-0,1,8
28,3875,2.00,170.00,270.00,50.00,116.00,1-7-0,0,8
