Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,2481,117.8,80,400,320,94,296,10
2,2451,104.8,20,396,240,82,310,10
3,1208,86.4,20,372,80,146,252,10
4,2386,81.8,12,180,340,130,174,10
5,4330,78.4,18,168,260,116,222,10
6,1706,77.5,20,156,280,157,174,10
7,4522,77.5,10,340,160,57,220,10
8,3616,77.0,0,168,240,196,172,10
9,3612,75.4,42,256,200,62,194,10
10,1986,74.1,40,284,100,109,214,10
11,1209,70.9,20,152,240,109,188,10
12,2395,70.7,16,204,240,89,164,10
13,16,69.8,0,300,80,142,206,10
14,3937,68.8,20,168,160,186,172,10
15,3284,68.3,4,220,160,95,216,10
16,4500,68.1,28,244,160,79,188,10
17,1732,67.8,16,232,140,126,164,10
18,418,62.3,28,184,160,91,172,10
19,4256,62.1,6,160,160,117,190,10
20,3179,62.0,14,200,160,92,154,10
21,5006,61.5,20,172,160,99,170,10
22,2040,61.5,8,148,160,133,172,10
23,2200,60.2,0,176,160,92,174,10
24,3931,60.2,10,168,80,144,200,10
25,5153,60.0,10,160,180,94,162,10
26,5437,60.0,20,172,160,78,170,10
27,931,59.8,30,104,220,78,178,10
28,1785,58.4,0,148,180,96,166,10
29,2773,58.3,0,132,140,147,164,10
30,935,57.6,0,108,180,102,192,10
31,3847,55.0,4,124,220,48,166,10
32,2972,54.3,6,200,120,47,200,10
33,2359,53.4,6,156,140,82,168,10
34,4849,52.2,20,116,120,74,192,10
35,5568,51.0,14,144,120,78,160,10
36,3783,50.2,4,104,140,112,154,10
37,5551,50.1,20,128,120,89,150,10
38,5454,49.2,44,156,40,114,156,10
39,4213,48.0,0,116,120,80,164,10
40,5259,47.1,0,100,140,87,150,10
41,401,46.7,20,92,160,71,136,10
42,3337,45.0,4,84,160,98,110,10
43,4490,44.5,4,64,140,115,134,10
44,5721,44.2,0,104,160,84,112,10
45,1108,42.6,0,200,0,82,162,10
46,3160,41.6,0,60,180,78,110,10
47,4329,41.5,0,124,80,83,146,10
48,4745,40.5,0,140,80,73,124,10
49,5040,40.3,0,84,160,77,94,10
50,3061,40.2,0,88,80,100,134,10
51,1939,38.5,20,120,40,65,170,10
52,1625,38.2,20,120,40,94,120,10
53,5409,37.4,4,96,100,84,108,10
54,4090,31.8,0,140,0,66,124,10
