Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,118,140.8,200,440,320,160,306,10
2,1671,131.3,0,608,120,201,396,10
3,1678,120.6,80,452,200,178,314,10
4,2085,114.4,8,444,200,140,352,10
5,701,110.2,38,384,200,210,300,10
6,1280,94.2,8,244,280,162,260,10
7,2643,94.1,38,260,220,209,220,10
8,4543,88.5,28,248,160,243,224,10
9,3250,83.4,48,304,140,126,216,10
10,2489,81.2,28,260,200,150,180,10
11,971,81.0,20,312,80,187,244,10
12,295,75.1,20,252,160,183,190,10
13,3598,70.8,20,192,200,128,180,10
14,3859,68.9,8,224,120,174,166,10
15,2551,68.8,0,264,40,126,264,10
16,568,68.6,20,152,160,140,232,10
17,4498,68.3,20,156,200,143,168,10
18,1458,65.8,8,124,200,188,174,10
19,3257,64.0,20,248,40,146,198,10
20,2204,62.2,28,100,200,132,174,10
21,2073,61.3,32,192,80,97,236,10
22,3256,60.4,8,128,200,124,186,10
23,2135,59.2,28,144,140,144,154,10
24,4135,59.0,24,120,200,106,164,10
25,766,58.9,0,108,160,195,132,10
26,3615,58.8,8,196,120,128,160,10
27,4973,57.8,0,156,200,96,150,10
28,5023,56.6,20,188,80,110,180,10
29,4669,56.2,44,176,100,102,158,10
30,3669,55.4,20,128,100,172,140,10
31,3045,54.5,8,176,80,115,184,10
32,2144,53.5,20,132,120,129,146,10
33,5430,53.5,40,164,80,85,178,10
34,4159,53.4,40,160,80,112,154,10
35,2035,53.0,0,120,40,238,150,10
36,100,52.2,10,172,80,154,130,10
37,5026,51.0,40,132,80,140,124,10
38,692,50.9,0,160,40,107,208,10
39,253,50.3,8,128,100,141,138,10
40,2141,50.0,0,144,120,120,140,10
41,1072,49.8,0,104,160,154,128,10
42,5496,48.8,0,116,80,124,180,10
43,668,46.9,0,168,40,114,166,10
44,5250,43.1,20,72,160,69,122,10
45,3189,42.9,12,116,40,93,178,10
46,5507,41.0,0,108,80,118,110,10
47,4990,39.9,0,112,80,87,126,10
48,5274,38.7,0,72,120,87,114,10
49,4643,38.3,4,60,80,109,130,10
50,5458,36.5,20,128,0,99,136,10
51,4904,35.6,20,112,40,96,112,10
52,3013,34.5,0,104,80,85,82,10
53,2473,29.9,0,76,40,117,82,10
54,114,29.7,0,64,80,89,78,10
55,1422,14.3,0,44,40,19,46,10
