2015casd_0,Regional Chairman's Award,frc3476,
2015casd_1,Regional Winners,frc399,
2015casd_1,Regional Winners,frc3255,
2015casd_1,Regional Winners,frc2339,
2015casd_10,Rookie All Star Award,frc5627,
2015casd_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1266,
2015casd_13,Judges' Award,frc2543,
2015casd_14,Highest Rookie Seed,frc5627,
2015casd_15,Rookie Inspiration Award,frc5514,
2015casd_16,Industrial Design Award sponsored by General Motors,frc1538,
2015casd_17,Quality Award sponsored by Motorola,frc2102,
2015casd_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc1622,
2015casd_2,Regional Finalists,frc1538,
2015casd_2,Regional Finalists,frc3476,
2015casd_2,Regional Finalists,frc4486,
2015casd_20,Creativity Award sponsored by Xerox,frc3021,
2015casd_21,Excellence in Engineering Award sponsored by Delphi,frc2485,
2015casd_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc3128,
2015casd_27,Imagery Award in honor of Jack Kamen,frc4616,
2015casd_29,Innovation in Control Award sponsored by Rockwell Automation,frc3255,
2015casd_3,Woodie Flowers Finalist Award,frc2102,John Gaby
2015casd_30,Team Spirit Award sponsored by Chrysler,frc5089,
2015casd_4,FIRST Dean's List Finalist Award,frc1772,Luan Motta
2015casd_4,FIRST Dean's List Finalist Award,frc3341,Asia Chapman
2015casd_9,Regional Engineering Inspiration Award,frc1622,
