Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,2481,139.41,194,608,320,133,424,12
2,2512,117.33,232,316,400,170,314,12
3,4143,111.33,28,468,320,218,314,12
4,1756,108.66,46,580,120,112,446,12
5,876,108.25,20,544,160,151,442,12
6,2457,99.5,20,512,160,126,394,12
7,2040,96.0,72,364,160,256,312,12
8,4096,93.91,40,364,280,131,318,12
9,3528,93.75,36,292,280,225,292,12
10,4028,92.58,4,424,240,135,338,12
11,4009,89.83,44,324,120,326,276,12
12,2081,84.0,20,360,220,138,282,12
13,5442,83.91,20,380,160,145,320,12
14,4646,82.33,20,304,160,226,290,12
15,111,81.0,20,232,280,150,314,12
16,1736,79.83,20,228,280,100,354,12
17,3928,79.25,46,288,260,87,294,12
18,171,76.58,4,208,400,81,244,12
19,3201,75.66,40,228,200,196,250,12
20,2039,74.16,20,308,160,138,282,12
21,2220,72.66,40,252,220,150,222,12
22,648,70.66,6,244,240,128,230,12
23,3067,68.83,28,184,220,152,254,12
24,2022,68.41,40,248,140,143,262,12
25,2358,68.33,20,176,220,188,228,12
26,1739,67.66,40,268,160,156,206,12
27,4212,67.58,48,236,160,119,266,12
28,5665,67.41,20,212,200,119,276,12
29,5537,67.16,0,272,200,134,236,12
30,938,66.75,24,204,240,139,216,12
31,4314,61.58,26,172,160,157,224,12
32,1701,61.58,20,224,160,125,228,12
33,63,61.41,20,180,160,135,288,12
34,2704,61.0,20,244,160,92,222,12
35,2856,60.83,28,220,120,122,246,12
36,4213,59.41,24,264,100,99,250,12
37,4241,59.25,0,204,160,119,240,12
38,4156,53.5,6,240,60,150,226,12
39,3507,52.83,0,156,160,116,202,12
