Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,234,100.33,28,400,160,274,348,12
2,1501,96.91,4,424,260,155,320,12
3,135,95.75,8,460,140,165,376,12
4,1720,95.41,8,408,120,327,300,12
5,107,92.75,52,456,80,171,372,12
6,71,87.91,20,308,120,255,358,12
7,1024,86.25,16,448,120,135,328,12
8,3940,83.91,20,244,280,209,260,12
9,829,79.16,24,296,200,156,292,12
10,4103,77.0,8,296,220,186,244,12
11,1529,74.16,28,240,80,272,288,12
12,5402,72.58,4,296,120,171,298,12
13,3494,71.08,28,324,40,193,304,12
14,292,69.75,12,200,160,209,274,12
15,45,66.5,24,276,80,166,258,12
16,2197,62.33,28,232,120,148,232,12
17,4982,62.0,8,236,40,266,206,12
18,3180,61.83,20,240,80,134,274,12
19,2867,60.91,32,216,80,153,250,12
20,4234,59.25,12,212,120,163,222,12
21,4485,57.41,12,212,80,167,260,12
22,4008,56.75,4,212,80,185,206,12
23,4926,56.41,8,212,80,149,240,12
24,4580,54.33,4,180,120,158,202,12
25,68,52.0,4,224,80,116,218,12
26,3147,51.33,0,196,40,152,252,12
27,1760,49.83,16,216,20,164,188,12
28,4824,46.16,8,196,80,86,196,12
29,3865,45.58,8,156,60,155,192,12
30,4791,45.41,0,128,140,137,152,12
31,3936,44.5,16,168,40,152,188,12
32,5484,43.41,4,208,40,99,200,12
