2015ncre_0,Regional Chairman's Award,frc3506,
2015ncre_1,Regional Winners,frc1225,
2015ncre_1,Regional Winners,frc2059,
2015ncre_1,Regional Winners,frc900,
2015ncre_10,Rookie All Star Award,frc5511,
2015ncre_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc900,
2015ncre_13,Judges' Award,frc5544,
2015ncre_13,Judges' Award,frc5190,
2015ncre_14,Highest Rookie Seed,frc5511,
2015ncre_15,Rookie Inspiration Award,frc5727,
2015ncre_16,Industrial Design Award sponsored by General Motors,frc4533,
2015ncre_17,Quality Award sponsored by Motorola,frc4073,
2015ncre_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc2059,
2015ncre_2,Regional Finalists,frc3971,
2015ncre_2,Regional Finalists,frc587,
2015ncre_2,Regional Finalists,frc2640,
2015ncre_20,Creativity Award sponsored by Xerox,frc3971,
2015ncre_21,Excellence in Engineering Award sponsored by Delphi,frc1225,
2015ncre_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc4534,
2015ncre_27,Imagery Award in honor of Jack Kamen,frc3196,
2015ncre_29,Innovation in Control Award sponsored by Rockwell Automation,frc1533,
2015ncre_3,Woodie Flowers Finalist Award,frc2642,William McClung
2015ncre_30,Team Spirit Award sponsored by Chrysler,frc4828,
2015ncre_4,FIRST Dean's List Finalist Award,frc3196,Nathaniel Turk
2015ncre_4,FIRST Dean's List Finalist Award,frc2640,Sarah Roland
2015ncre_5,Volunteer of the Year,,Cathy Gorton
2015ncre_9,Regional Engineering Inspiration Award,frc2059,
