Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1225,60.8,0,224,80,70,240,10
2,3506,55.2,0,132,40,268,118,10
3,5511,53.3,4,124,160,141,134,10
4,3336,51.7,0,80,160,177,100,10
5,4073,49.1,0,100,80,167,156,10
6,4533,48.7,4,176,80,67,166,10
7,5160,47.7,0,116,140,135,104,10
8,2059,47.3,0,116,80,123,172,10
9,3971,46.6,0,60,80,224,108,10
10,1533,42.3,6,100,120,81,122,10
11,5518,41.6,0,104,80,138,100,10
12,3822,41.5,0,120,40,145,110,10
13,2642,40.1,8,52,80,91,188,10
14,5544,39.3,8,116,40,117,112,10
15,4290,38.1,0,68,80,135,106,10
16,587,37.3,0,80,80,97,122,10
17,3459,37.0,0,80,80,112,116,10
18,2528,36.4,6,84,80,104,102,10
19,2640,36.4,0,148,0,78,144,10
20,2682,36.3,4,32,120,89,130,10
21,3402,36.1,0,88,80,101,116,10
22,5679,35.9,0,92,40,97,130,10
23,4828,35.2,0,80,40,104,128,10
24,5543,34.4,0,68,40,118,124,10
25,4534,34.0,8,88,40,88,116,10
26,2641,34.0,0,72,40,130,104,10
27,3737,33.9,4,52,120,85,84,10
28,5446,33.9,0,48,40,102,162,10
29,3763,33.5,0,76,40,147,84,10
30,900,33.0,4,100,0,130,102,10
31,3196,32.8,0,28,120,86,94,10
32,5190,32.7,0,52,120,96,96,10
33,1413,32.6,0,52,80,106,100,10
34,4561,32.6,0,116,20,84,106,10
35,4996,31.8,6,48,80,114,88,10
36,3796,31.4,0,48,0,128,138,10
37,3229,31.3,0,80,0,121,118,10
38,3331,31.0,6,56,60,102,86,10
39,3270,29.6,0,44,80,116,68,10
40,5607,28.9,0,24,40,145,104,10
41,435,28.7,0,64,40,87,102,10
42,4291,27.9,4,52,40,101,82,10
43,4767,27.9,0,80,0,105,100,10
44,3661,27.7,6,40,80,79,108,10
45,3215,26.8,0,60,0,86,134,10
46,4816,26.2,0,36,40,76,128,10
47,5727,25.8,0,28,80,82,80,10
48,3845,25.8,0,44,60,82,78,10
49,4795,25.7,0,36,60,67,100,10
50,3701,25.4,0,64,40,78,86,10
51,4829,25.1,6,24,140,31,62,10
52,2890,24.2,0,48,80,44,94,10
53,3680,23.7,0,48,0,71,118,10
54,5762,21.3,0,28,40,78,76,10
55,5323,20.2,0,48,0,92,74,10
