2015orphi_0,District Chairman's Award,frc1983,
2015orphi_1,District Event Winner,frc1983,
2015orphi_1,District Event Winner,frc955,
2015orphi_1,District Event Winner,frc847,
2015orphi_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc957,
2015orphi_13,Judges' Award,frc2990,
2015orphi_14,Highest Rookie Seed,frc5450,
2015orphi_16,Industrial Design Award sponsored by General Motors,frc955,
2015orphi_17,Quality Award sponsored by Motorola,frc5085,
2015orphi_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc1983,
2015orphi_2,District Event Finalist,frc2550,
2015orphi_2,District Event Finalist,frc2990,
2015orphi_2,District Event Finalist,frc4127,
2015orphi_20,Creativity Award sponsored by Xerox,frc4043,
2015orphi_21,Excellence in Engineering Award sponsored by Delphi,frc2521,
2015orphi_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2811,
2015orphi_27,Imagery Award in honor of Jack Kamen,frc847,
2015orphi_29,Innovation in Control Award sponsored by Rockwell Automation,frc2002,
2015orphi_30,Team Spirit Award sponsored by Chrysler,frc1510,
2015orphi_9,District Engineering Inspiration Award,frc3024,
