2015orwil_0,District Chairman's Award,frc3574,
2015orwil_1,District Event Winner,frc2635,
2015orwil_1,District Event Winner,frc3674,
2015orwil_1,District Event Winner,frc2915,
2015orwil_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc1425,
2015orwil_13,Judges' Award,frc2733,
2015orwil_14,Highest Rookie Seed,frc5468,
2015orwil_15,Rookie Inspiration Award,frc5468,
2015orwil_16,Industrial Design Award sponsored by General Motors,frc2635,
2015orwil_17,Quality Award sponsored by Motorola,frc955,
2015orwil_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc1540,
2015orwil_2,District Event Finalist,frc2471,
2015orwil_2,District Event Finalist,frc1425,
2015orwil_2,District Event Finalist,frc957,
2015orwil_20,Creativity Award sponsored by Xerox,frc1510,
2015orwil_21,Excellence in Engineering Award sponsored by Delphi,frc3674,
2015orwil_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc4043,
2015orwil_27,Imagery Award in honor of Jack Kamen,frc1359,
2015orwil_29,Innovation in Control Award sponsored by Rockwell Automation,frc2471,
2015orwil_30,Team Spirit Award sponsored by Chrysler,frc847,
2015orwil_9,District Engineering Inspiration Award,frc1540,
