Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1403,80.33,12,368,160,140,284,12
2,2607,78.91,32,288,280,109,250,12
3,1640,73.33,30,332,160,100,270,12
4,25,65.66,22,240,240,60,232,12
5,2590,65.0,40,300,160,42,256,12
6,2729,56.75,8,156,240,93,190,12
7,2559,56.08,16,236,160,59,202,12
8,272,54.66,0,168,240,52,202,12
9,75,54.58,4,176,240,33,220,12
10,1218,53.25,6,164,240,37,228,12
11,1647,51.66,20,112,120,202,166,12
12,486,49.25,10,108,200,101,178,12
13,834,48.83,18,112,200,118,162,12
14,4637,48.75,12,156,160,141,134,12
15,5181,47.0,0,156,200,60,178,12
16,5113,46.0,12,100,200,110,154,12
17,3167,44.83,0,140,80,186,150,12
18,5401,44.08,8,132,120,75,218,12
19,1168,44.0,0,104,200,46,196,12
20,1089,43.16,28,104,160,130,108,12
21,709,42.16,12,148,160,61,138,12
22,304,40.91,0,164,120,87,144,12
23,5080,39.83,14,96,200,66,124,12
24,11,39.33,0,148,80,96,160,12
25,357,39.16,6,96,160,76,148,12
26,5404,38.41,22,72,200,71,108,12
27,5490,37.16,0,68,200,58,124,12
28,102,36.75,4,88,120,107,128,12
29,708,35.58,8,96,160,67,96,12
30,4454,32.66,4,68,160,74,104,12
31,341,32.41,12,92,80,47,170,12
32,3637,31.75,6,88,120,73,112,12
33,2539,31.25,10,84,80,62,158,12
34,5407,31.16,4,68,120,84,104,12
35,4954,30.08,0,88,120,51,108,12
36,4373,28.58,4,72,120,41,112,12
37,3607,21.58,0,28,40,72,126,12
