Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,3824,77.33,6,320,40,86,244,9
2,1876,66.44,0,64,260,152,128,9
3,4451,59.55,0,232,60,116,134,9
4,1102,56.33,0,168,0,193,146,9
5,1261,56.11,0,168,80,105,158,9
6,343,54.88,28,96,160,76,140,9
7,4075,51.66,0,76,160,119,122,9
8,4505,51.33,0,84,200,94,90,9
9,2655,50.88,22,100,160,68,114,9
10,1533,50.77,10,100,200,65,94,9
11,342,50.77,0,140,120,83,120,9
12,4561,50.44,8,72,160,134,80,9
13,283,50.22,18,40,220,76,104,9
14,2632,50.11,20,124,120,69,118,9
15,5022,49.88,0,120,120,81,134,9
16,4902,49.77,0,144,80,94,136,9
17,3459,49.44,0,116,160,81,106,9
18,2187,48.77,20,84,120,119,108,9
19,900,48.66,10,112,140,90,86,9
20,1249,48.11,0,68,220,75,94,9
21,2028,47.22,0,108,80,59,178,9
22,4576,46.77,16,116,80,87,128,9
23,346,44.44,0,88,80,104,146,9
24,2815,44.22,0,68,120,112,104,9
25,3490,43.77,8,132,40,78,148,9
26,1539,42.22,20,40,120,100,106,9
27,4243,42.0,0,76,120,80,114,9
28,4074,41.11,0,60,160,64,86,9
29,4935,40.55,10,68,120,65,108,9
30,1758,40.44,0,48,80,154,82,9
31,1553,40.0,0,92,80,70,124,9
32,1225,39.88,0,24,120,55,172,9
33,5063,38.55,0,24,120,125,90,9
34,1051,37.55,8,36,120,70,110,9
35,435,37.55,0,100,80,42,122,9
36,422,35.77,8,56,160,16,88,9
37,4083,35.11,0,72,80,86,78,9
38,5180,34.88,0,28,120,112,74,9
39,3489,34.55,24,32,80,81,112,9
40,4452,34.22,12,52,80,68,96,9
41,4823,34.22,0,56,80,112,78,9
42,4582,34.11,8,36,80,125,82,9
43,1293,33.88,8,32,80,93,98,9
44,4073,33.11,16,56,40,68,130,9
45,120,33.0,4,76,40,87,102,9
46,587,31.88,6,4,140,45,98,9
47,2640,31.44,8,60,100,43,88,9
48,4098,30.33,8,16,120,65,76,9
49,5317,30.11,14,44,80,25,114,9
50,1398,29.66,0,48,40,109,70,9
51,4847,29.33,0,64,40,52,122,9
52,2059,29.11,0,52,20,76,114,9
53,281,29.0,0,64,40,75,102,9
54,1287,28.33,0,72,0,87,120,9
55,5020,27.44,0,76,0,35,136,9
56,4267,26.44,0,68,20,102,66,9
57,4748,26.0,0,84,40,48,78,9
58,3976,25.0,0,32,40,81,78,9
59,4965,24.33,0,72,0,85,80,9
60,4514,24.22,0,52,80,22,68,9
61,4901,23.11,4,12,80,50,68,9
62,5327,22.88,0,32,60,44,88,9
63,836,22.22,0,44,0,62,94,9
64,5130,21.88,0,60,40,51,82,9
65,4533,21.44,0,32,20,59,112,9
66,3651,12.55,0,0,20,45,48,9
