Rank,Team,Qual Avg,Auto,Container,Coopertition,Litter,Tote,Played
1,1296,92.0,0,400,0,144,290,9
2,2468,76.11,0,288,80,151,190,9
3,233,67.66,20,208,120,103,164,9
4,3743,57.11,0,56,240,128,102,9
5,4641,51.22,4,144,40,145,134,9
6,5754,50.66,0,192,40,84,152,9
7,3314,50.11,0,116,120,127,112,9
8,3999,49.11,0,112,160,74,114,9
9,1726,48.77,4,156,80,93,118,9
10,3103,48.55,4,136,80,103,128,9
11,3481,47.55,0,144,80,88,140,9
12,4063,46.11,4,132,80,87,114,9
13,231,46.0,0,100,160,106,90,9
14,5572,45.0,6,120,80,83,122,9
15,2415,43.66,0,92,120,109,84,9
16,1817,43.0,0,140,40,81,150,9
17,1255,41.66,28,44,40,143,132,9
18,5047,41.66,12,132,40,106,88,9
19,3305,41.11,10,96,80,94,116,9
20,4597,40.66,8,144,40,96,108,9
21,3700,40.55,0,96,0,119,156,9
22,3561,40.44,0,40,160,82,88,9
23,2881,39.44,0,164,40,29,146,9
24,4332,39.11,0,112,80,44,122,9
25,3366,38.88,20,76,80,102,78,9
26,457,38.88,0,60,80,96,126,9
27,4734,37.77,0,100,40,86,126,9
28,3043,37.55,0,60,160,41,100,9
29,4610,37.44,0,84,80,87,98,9
30,5052,36.33,4,68,40,93,122,9
31,4670,36.22,4,68,120,78,68,9
32,3961,36.22,0,88,80,68,102,9
33,2969,36.11,4,44,80,113,102,9
34,5681,35.66,0,112,0,117,122,9
35,4335,35.33,4,64,80,132,80,9
36,5103,34.88,0,92,80,50,104,9
37,2583,34.88,18,52,40,82,128,9
38,3335,34.66,0,48,160,26,84,9
39,5241,34.44,0,64,80,116,74,9
40,2158,34.11,8,40,40,141,84,9
41,3679,33.88,8,88,40,70,120,9
42,4219,31.66,0,4,120,77,90,9
43,3240,31.66,20,60,40,51,120,9
44,499,31.55,0,64,40,72,132,9
45,3035,31.22,0,36,80,83,82,9
46,4696,31.0,22,44,0,117,116,9
47,4412,30.77,0,60,80,63,76,9
48,2789,30.33,0,28,80,89,82,9
49,2805,29.44,0,44,80,53,94,9
50,4721,28.77,0,88,40,58,108,9
51,4378,27.88,0,96,0,81,100,9
52,5639,27.11,4,48,40,68,84,9
53,3997,27.11,0,68,40,27,130,9
54,2833,26.55,0,36,40,63,118,9
55,3345,24.33,0,56,40,53,88,9
56,4989,23.33,0,76,40,57,84,9
57,5726,23.22,0,80,0,61,74,9
58,3029,22.33,0,28,40,111,58,9
59,1868,21.11,0,40,0,82,80,9
60,2721,18.88,0,28,0,70,72,9
