Rank,Team,Qual Avg,Coopertition,Auto,Container,Tote,Litter,DQ,Played
1,2767,105,80,40,204,184,232,0,7
2,2867,102,160,20,224,190,144,0,7
3,5710,102,120,40,228,202,129,0,7
4,107,102,120,80,232,224,86,0,7
5,1918,100,120,40,248,210,106,0,7
6,1502,97,100,20,224,188,158,0,7
7,3547,92,160,28,212,166,84,0,7
8,2054,88,160,40,188,134,108,0,7
9,3620,86,120,0,216,186,81,0,7
10,4003,84,140,60,104,172,113,0,7
11,74,83,160,28,168,148,82,0,7
12,4967,79,100,92,156,136,84,0,7
13,4482,74,160,20,112,166,78,0,7
14,2405,73,140,0,176,138,75,0,7
15,3875,73,40,60,152,144,139,0,7
16,2959,67,40,0,128,126,199,0,7
17,858,65,180,20,76,114,73,0,7
18,2075,65,100,20,124,156,92,0,7
19,904,64,160,0,136,124,56,0,7
20,85,62,120,28,104,130,55,0,7
21,3357,59,80,12,132,108,97,0,7
22,5473,54,80,0,136,108,72,0,7
23,2771,53,120,0,80,102,87,0,7
24,5162,50,80,20,72,100,120,0,7
25,2781,49,120,8,36,108,72,0,7
26,5574,48,120,0,72,114,55,1,7
27,141,47,80,8,112,112,36,0,7
28,3234,41,80,20,24,78,111,0,7
29,5502,39,80,0,56,104,48,0,7
30,3546,34,0,20,56,72,91,0,7
31,3572,21,40,0,28,66,18,1,7
