Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),DQ,Played
1,195,23,228,170,358,375,7-0-0,0,7
2,2168,20,254,110,283,370,6-1-0,0,7
3,177,20,196,130,306,390,6-1-0,0,7
4,1124,18,234,155,359,360,5-2-0,0,7
5,4055,18,222,120,199,375,5-2-0,0,7
6,558,18,162,175,269,375,5-2-0,0,7
7,228,17,146,85,203,350,4-3-0,0,7
8,1099,16,216,105,285,375,5-2-0,0,7
9,999,16,196,130,248,355,4-3-0,0,7
10,178,15,172,135,180,365,3-4-0,0,7
11,173,14,189,115,168,365,3-4-0,0,7
12,1991,13,207,100,140,355,4-3-0,0,7
13,237,13,179,140,183,360,3-4-0,0,7
14,2067,12,208,95,247,350,4-3-0,0,7
15,181,12,173,80,207,345,3-4-0,0,7
16,176,12,158,105,291,325,3-4-0,0,7
17,2836,12,139,105,109,335,3-4-0,0,7
18,230,11,208,110,251,330,3-4-0,0,7
19,155,10,188,165,200,360,2-5-0,0,7
20,3146,10,158,80,163,310,3-4-0,0,7
21,1071,10,146,80,163,340,2-5-0,0,7
22,3719,9,173,100,168,320,2-5-0,0,7
23,1699,8,134,70,173,315,2-5-0,0,7
24,2170,7,115,65,126,275,2-5-0,0,7
25,2064,6,211,135,159,350,1-6-0,0,7
26,3654,6,132,90,124,315,1-6-0,0,7
