Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,2590,31.0,203.0,125.0,328.0,435.0,8-0-1,9
2,179,26.0,204.0,155.0,309.0,430.0,8-1-0,9
3,4592,25.0,194.0,120.0,183.0,465.0,7-2-0,9
4,1065,25.0,193.0,105.0,259.0,485.0,7-2-0,9
5,180,24.0,188.0,105.0,259.0,450.0,7-2-0,9
6,3653,24.0,158.0,100.0,239.0,425.0,7-2-0,9
7,2383,23.0,246.0,115.0,160.0,455.0,7-2-0,9
8,141,21.0,232.0,95.0,264.0,450.0,6-3-0,9
9,2152,20.0,218.0,105.0,158.0,455.0,5-4-0,9
10,744,20.0,202.0,105.0,183.0,405.0,7-2-0,9
11,5410,20.0,198.0,85.0,150.0,445.0,6-3-0,9
12,1523,20.0,196.0,120.0,172.0,420.0,6-3-0,9
13,5753,20.0,164.0,95.0,126.0,440.0,6-3-0,9
14,5536,19.0,221.0,100.0,120.0,450.0,5-4-0,9
15,1251,19.0,154.0,105.0,165.0,395.0,6-3-0,9
16,86,18.0,242.0,90.0,217.0,390.0,7-2-0,9
17,386,18.0,238.0,115.0,215.0,450.0,5-3-1,9
18,4575,18.0,194.0,105.0,161.0,430.0,5-4-0,9
19,3556,18.0,186.0,105.0,213.0,445.0,4-5-0,9
20,4471,18.0,160.0,125.0,105.0,395.0,5-4-0,9
21,4240,17.0,210.0,90.0,56.0,460.0,4-4-1,9
22,5243,17.0,208.0,95.0,106.0,465.0,5-4-0,9
23,3932,17.0,190.0,125.0,134.0,425.0,5-4-0,9
24,5819,17.0,188.0,110.0,128.0,425.0,5-4-0,9
25,5472,16.0,220.0,105.0,182.0,420.0,4-5-0,9
26,5816,16.0,216.0,105.0,152.0,460.0,4-5-0,9
27,6225,16.0,208.0,85.0,117.0,405.0,5-3-1,9
28,5329,16.0,190.0,85.0,130.0,405.0,6-3-0,9
29,21,16.0,156.0,160.0,77.0,440.0,4-5-0,9
30,6165,16.0,154.0,90.0,76.0,420.0,5-4-0,9
31,3627,15.0,178.0,105.0,78.0,420.0,4-5-0,9
32,4517,15.0,176.0,85.0,130.0,375.0,5-4-0,9
33,1758,15.0,172.0,85.0,124.0,415.0,4-5-0,9
34,2797,15.0,160.0,95.0,106.0,425.0,5-4-0,9
35,11,14.0,210.0,80.0,132.0,450.0,3-6-0,9
36,694,14.0,198.0,70.0,176.0,435.0,4-5-0,9
37,3242,13.0,191.0,75.0,197.0,330.0,4-4-1,9
38,87,13.0,188.0,90.0,68.0,430.0,3-6-0,9
39,2265,13.0,172.0,85.0,135.0,400.0,4-4-1,9
40,5872,13.0,154.0,95.0,163.0,385.0,4-5-0,9
41,6231,12.0,175.0,70.0,123.0,360.0,4-3-2,9
42,4500,12.0,172.0,105.0,237.0,310.0,4-4-1,9
43,108,12.0,150.0,70.0,73.0,415.0,3-6-0,9
44,4707,11.0,202.0,85.0,143.0,395.0,3-6-0,9
45,1155,11.0,196.0,80.0,112.0,410.0,3-6-0,9
46,5196,11.0,188.0,95.0,124.0,435.0,3-6-0,9
47,348,11.0,158.0,110.0,93.0,390.0,3-6-0,9
48,3410,10.0,202.0,55.0,68.0,420.0,3-6-0,9
49,1744,10.0,158.0,75.0,95.0,375.0,3-5-1,9
50,2905,10.0,142.0,85.0,35.0,400.0,2-7-0,9
51,5842,9.0,170.0,35.0,107.0,385.0,2-7-0,9
52,5665,9.0,132.0,95.0,84.0,385.0,2-6-1,9
53,3233,9.0,98.0,65.0,88.0,280.0,3-5-0,9
54,5109,8.0,210.0,85.0,180.0,330.0,2-7-0,9
55,6232,8.0,181.0,50.0,106.0,395.0,2-7-0,9
56,6228,8.0,166.0,65.0,106.0,365.0,2-7-0,9
57,5949,8.0,156.0,80.0,80.0,390.0,3-6-0,9
58,59,8.0,140.0,140.0,156.0,335.0,3-5-1,9
59,4024,7.0,196.0,55.0,53.0,415.0,1-8-0,9
60,6001,4.0,136.0,50.0,90.0,375.0,1-8-0,9
