Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,4468,42.0,329.0,185.0,292.0,720.0,11-1-0,12
2,1746,39.0,346.0,205.0,285.0,735.0,11-1-0,12
3,1261,35.0,324.0,175.0,295.0,675.0,9-3-0,12
4,3329,34.0,305.0,140.0,244.0,675.0,10-2-0,12
5,5332,32.0,294.0,165.0,247.0,700.0,8-3-1,12
6,2415,31.0,320.0,155.0,374.0,700.0,8-4-0,12
7,4026,30.0,323.0,185.0,188.0,680.0,7-5-0,12
8,4188,30.0,315.0,160.0,322.0,680.0,7-5-0,12
9,5132,30.0,266.0,170.0,187.0,670.0,7-5-0,12
10,5482,29.0,304.0,180.0,129.0,710.0,7-5-0,12
11,4112,29.0,283.0,155.0,168.0,665.0,8-4-0,12
12,5536,28.0,320.0,155.0,212.0,705.0,6-6-0,12
13,3581,28.0,282.0,165.0,146.0,680.0,7-5-0,12
14,4910,28.0,274.0,145.0,243.0,665.0,7-5-0,12
15,4189,27.0,318.0,180.0,188.0,660.0,6-6-0,12
16,5608,27.0,295.0,240.0,216.0,665.0,7-5-0,12
17,2974,27.0,243.0,165.0,299.0,645.0,7-5-0,12
18,4516,26.0,295.0,145.0,199.0,665.0,6-6-0,12
19,5632,25.0,318.0,155.0,156.0,700.0,5-6-1,12
20,1311,25.0,318.0,125.0,195.0,695.0,6-6-0,12
21,4080,25.0,290.0,150.0,112.0,670.0,5-6-1,12
22,5900,25.0,284.0,135.0,189.0,660.0,7-5-0,12
23,1771,24.0,282.0,240.0,141.0,645.0,6-6-0,12
24,5812,24.0,282.0,170.0,143.0,655.0,7-5-0,12
25,4941,24.0,275.0,170.0,135.0,630.0,6-6-0,12
26,3091,24.0,257.0,165.0,180.0,620.0,5-5-1,12
27,1648,24.0,250.0,125.0,220.0,645.0,6-6-0,12
28,5582,23.0,301.0,185.0,158.0,715.0,5-7-0,12
29,6177,23.0,287.0,155.0,121.0,665.0,5-6-1,12
30,1002,23.0,248.0,140.0,195.0,625.0,5-7-0,12
31,4749,22.0,312.0,150.0,163.0,720.0,5-7-0,12
32,3600,22.0,275.0,135.0,261.0,640.0,6-6-0,12
33,5840,22.0,246.0,145.0,149.0,565.0,5-6-0,12
34,5004,18.0,235.0,165.0,128.0,650.0,3-9-0,12
35,5074,17.0,283.0,125.0,144.0,645.0,3-9-0,12
36,4193,17.0,210.0,170.0,129.0,570.0,4-8-0,12
37,5828,16.0,288.0,110.0,97.0,630.0,2-9-1,12
38,832,16.0,277.0,160.0,135.0,645.0,2-10-0,12
39,4240,15.0,246.0,155.0,141.0,610.0,2-10-0,12
40,4701,13.0,276.0,110.0,168.0,630.0,1-11-0,12
41,5651,12.0,200.0,135.0,125.0,560.0,2-10-0,12
