Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,359,37.0,333.0,155.0,374.0,655.0,11-1-0,12
2,368,34.0,250.0,135.0,345.0,540.0,12-0-0,12
3,2439,31.0,271.0,140.0,202.0,660.0,9-3-0,12
4,3132,29.0,224.0,125.0,109.0,580.0,9-3-0,12
5,4774,27.0,246.0,145.0,174.0,565.0,9-3-0,12
6,3880,26.0,256.0,110.0,155.0,635.0,8-4-0,12
7,2853,26.0,247.0,105.0,151.0,585.0,8-3-1,12
8,2896,24.0,230.0,110.0,96.0,565.0,8-4-0,12
9,2438,23.0,296.0,120.0,293.0,530.0,7-5-0,12
10,2444,23.0,266.0,105.0,167.0,560.0,7-5-0,12
11,4253,22.0,250.0,140.0,91.0,565.0,7-5-0,12
12,2437,22.0,226.0,140.0,177.0,540.0,7-5-0,12
13,2090,22.0,216.0,135.0,156.0,575.0,6-5-1,12
14,2465,22.0,212.0,115.0,66.0,640.0,5-6-1,12
15,3800,22.0,210.0,80.0,134.0,505.0,7-4-1,12
16,3878,21.0,150.0,120.0,93.0,515.0,6-6-0,12
17,2443,20.0,234.0,135.0,218.0,500.0,7-5-0,12
18,5087,20.0,222.0,140.0,198.0,525.0,7-5-0,12
19,2445,20.0,200.0,145.0,109.0,555.0,6-6-0,12
20,2504,20.0,166.0,105.0,77.0,545.0,6-6-0,12
21,3008,19.0,252.0,135.0,139.0,575.0,6-6-0,12
22,2348,19.0,232.0,125.0,84.0,545.0,6-5-1,12
23,3882,19.0,200.0,140.0,241.0,455.0,7-5-0,12
24,2522,16.0,300.0,110.0,167.0,570.0,4-8-0,12
25,4083,16.0,158.0,105.0,91.0,465.0,5-7-0,12
26,5453,15.0,236.0,95.0,121.0,510.0,5-7-0,12
27,5701,15.0,228.0,110.0,130.0,495.0,4-7-1,12
28,6179,15.0,160.0,105.0,91.0,480.0,5-7-0,12
29,6227,14.0,160.0,115.0,114.0,420.0,4-8-0,12
30,4218,14.0,112.0,105.0,111.0,465.0,4-8-0,12
31,5605,12.0,158.0,85.0,124.0,460.0,4-8-0,12
32,1378,11.0,202.0,100.0,63.0,525.0,2-10-0,12
33,3721,11.0,174.0,70.0,114.0,460.0,3-9-0,12
34,5601,10.0,206.0,100.0,117.0,465.0,3-9-0,12
35,2477,10.0,142.0,95.0,86.0,395.0,3-9-0,12
36,2441,9.0,154.0,75.0,82.0,425.0,3-9-0,12
37,5832,8.0,154.0,115.0,67.0,430.0,3-9-0,12
38,5625,0.0,34.0,15.0,0.0,95.0,0-3-0,12
