Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,2122,38.0,311.0,220.0,274.0,635.0,10-2-0,12
2,3230,35.0,278.0,185.0,246.0,630.0,9-3-0,12
3,5818,35.0,264.0,190.0,333.0,610.0,9-3-0,12
4,1569,31.0,299.0,215.0,205.0,720.0,8-4-0,12
5,3250,30.0,386.0,255.0,397.0,595.0,9-3-0,12
6,1891,30.0,293.0,150.0,174.0,630.0,10-2-0,12
7,4009,29.0,321.0,145.0,283.0,660.0,8-4-0,12
8,5489,28.0,279.0,240.0,194.0,575.0,8-4-0,12
9,5871,26.0,343.0,195.0,168.0,610.0,7-5-0,12
10,3245,24.0,266.0,180.0,173.0,665.0,5-7-0,12
11,701,23.0,264.0,130.0,304.0,595.0,6-6-0,12
12,6210,23.0,260.0,165.0,135.0,605.0,7-5-0,12
13,2594,22.0,269.0,155.0,157.0,620.0,5-7-0,12
14,399,22.0,262.0,155.0,102.0,605.0,7-5-0,12
15,3562,22.0,261.0,140.0,169.0,565.0,6-6-0,12
16,5931,22.0,210.0,135.0,153.0,600.0,6-6-0,12
17,3145,21.0,210.0,150.0,101.0,600.0,5-7-0,12
18,4125,20.0,289.0,165.0,125.0,660.0,5-7-0,12
19,4206,20.0,271.0,135.0,152.0,620.0,5-7-0,12
20,5430,20.0,242.0,135.0,188.0,525.0,5-7-0,12
21,3243,20.0,232.0,125.0,158.0,545.0,5-7-0,12
22,3513,20.0,230.0,135.0,131.0,570.0,5-7-0,12
23,2085,18.0,258.0,155.0,150.0,585.0,4-8-0,12
24,5496,18.0,238.0,130.0,95.0,560.0,5-7-0,12
25,3251,18.0,214.0,125.0,121.0,590.0,4-8-0,12
26,1566,18.0,196.0,150.0,99.0,560.0,5-7-0,12
27,4175,17.0,187.0,100.0,89.0,470.0,5-5-0,12
28,5499,15.0,256.0,120.0,176.0,540.0,4-8-0,12
29,1622,12.0,230.0,85.0,125.0,570.0,2-10-0,12
30,5461,9.0,196.0,90.0,110.0,540.0,1-11-0,12
