Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1986,34.0,288.0,150.0,308.0,545.0,10-0-0,10
2,5119,26.0,222.0,130.0,102.0,545.0,8-2-0,10
3,1806,26.0,218.0,110.0,136.0,545.0,8-2-0,10
4,4959,25.0,222.0,125.0,97.0,540.0,8-2-0,10
5,1730,25.0,200.0,85.0,121.0,485.0,7-3-0,10
6,1825,24.0,212.0,105.0,91.0,520.0,7-3-0,10
7,1785,24.0,198.0,105.0,88.0,505.0,8-2-0,10
8,3172,23.0,220.0,100.0,130.0,500.0,7-3-0,10
9,1775,23.0,196.0,140.0,117.0,515.0,7-3-0,10
10,1987,22.0,242.0,140.0,182.0,480.0,8-1-1,10
11,5098,22.0,220.0,130.0,151.0,490.0,7-3-0,10
12,3528,22.0,198.0,110.0,108.0,485.0,7-3-0,10
13,2457,22.0,174.0,140.0,100.0,495.0,6-4-0,10
14,5801,21.0,202.0,105.0,84.0,505.0,7-3-0,10
15,5013,21.0,194.0,115.0,73.0,535.0,6-4-0,10
16,5730,20.0,226.0,125.0,147.0,485.0,6-3-1,10
17,1982,20.0,222.0,110.0,83.0,540.0,6-4-0,10
18,2357,20.0,206.0,105.0,78.0,490.0,6-3-1,10
19,5141,20.0,204.0,115.0,112.0,480.0,6-3-1,10
20,1777,20.0,170.0,125.0,64.0,470.0,6-4-0,10
21,2001,19.0,222.0,90.0,132.0,485.0,6-4-0,10
22,1939,19.0,194.0,105.0,112.0,520.0,4-6-0,10
23,1769,18.0,208.0,85.0,62.0,520.0,5-5-0,10
24,2345,18.0,192.0,125.0,53.0,510.0,5-5-0,10
25,1997,18.0,138.0,100.0,106.0,385.0,6-4-0,10
26,4455,17.0,208.0,90.0,75.0,505.0,5-4-1,10
27,1994,17.0,204.0,115.0,93.0,455.0,5-5-0,10
28,31,16.0,228.0,90.0,80.0,470.0,5-5-0,10
29,2346,16.0,198.0,100.0,57.0,480.0,4-6-0,10
30,2164,16.0,198.0,75.0,76.0,445.0,5-5-0,10
31,1763,16.0,188.0,115.0,111.0,450.0,5-5-0,10
32,1984,16.0,182.0,110.0,73.0,420.0,4-5-1,10
33,4522,16.0,180.0,120.0,188.0,400.0,5-5-0,10
34,935,16.0,180.0,85.0,100.0,465.0,5-5-0,10
35,2335,16.0,176.0,115.0,99.0,430.0,5-5-0,10
36,2167,16.0,138.0,75.0,78.0,440.0,5-5-0,10
37,1108,15.0,190.0,115.0,76.0,490.0,4-6-0,10
38,5082,14.0,190.0,55.0,63.0,490.0,4-6-0,10
39,1847,14.0,180.0,70.0,82.0,460.0,4-6-0,10
40,2560,14.0,170.0,95.0,59.0,475.0,4-6-0,10
41,2410,14.0,154.0,105.0,109.0,400.0,4-6-0,10
42,5126,13.0,232.0,85.0,50.0,500.0,4-6-0,10
43,1723,13.0,176.0,80.0,48.0,445.0,4-6-0,10
44,2202,13.0,170.0,100.0,99.0,420.0,3-7-0,10
45,5918,13.0,168.0,115.0,60.0,430.0,4-6-0,10
46,2874,12.0,186.0,70.0,67.0,405.0,4-6-0,10
47,2353,12.0,140.0,45.0,44.0,335.0,4-5-0,10
48,1764,11.0,184.0,100.0,101.0,395.0,4-6-0,10
49,3485,11.0,182.0,55.0,90.0,430.0,3-7-0,10
50,5189,11.0,152.0,90.0,48.0,385.0,3-7-0,10
51,937,10.0,114.0,65.0,60.0,345.0,3-7-0,10
52,1810,9.0,166.0,65.0,37.0,420.0,2-8-0,10
53,1737,8.0,152.0,50.0,69.0,380.0,3-7-0,10
54,1802,8.0,148.0,65.0,39.0,415.0,2-8-0,10
55,1827,8.0,124.0,70.0,46.0,385.0,2-8-0,10
56,5268,7.0,200.0,90.0,67.0,420.0,1-9-0,10
57,5809,7.0,148.0,60.0,50.0,340.0,2-8-0,10
58,5968,6.0,206.0,65.0,68.0,370.0,2-8-0,10
59,4809,3.0,130.0,45.0,37.0,300.0,1-9-0,10
