Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1806,29.0,230.0,115.0,300.0,465.0,9-0-0,9
2,3507,27.0,214.0,130.0,218.0,480.0,8-1-0,9
3,4403,26.0,194.0,125.0,166.0,475.0,8-1-0,9
4,4587,26.0,172.0,110.0,184.0,445.0,8-1-0,9
5,3612,24.0,146.0,110.0,158.0,395.0,8-1-0,9
6,2352,23.0,176.0,110.0,197.0,445.0,7-2-0,9
7,2354,21.0,200.0,110.0,95.0,485.0,6-3-0,9
8,3931,21.0,198.0,120.0,118.0,450.0,6-3-0,9
9,2359,21.0,170.0,95.0,71.0,430.0,7-2-0,9
10,6026,20.0,226.0,95.0,125.0,465.0,6-3-0,9
11,4522,20.0,166.0,95.0,244.0,360.0,7-2-0,9
12,5548,19.0,178.0,135.0,68.0,415.0,6-3-0,9
13,3660,19.0,164.0,80.0,86.0,450.0,5-4-0,9
14,3247,19.0,152.0,150.0,98.0,420.0,6-3-0,9
15,5930,18.0,206.0,90.0,74.0,450.0,5-4-0,9
16,3593,18.0,164.0,85.0,97.0,425.0,5-4-0,9
17,2341,18.0,158.0,120.0,105.0,440.0,5-4-0,9
18,3152,18.0,146.0,110.0,87.0,415.0,5-4-0,9
19,3457,18.0,140.0,95.0,74.0,370.0,7-2-0,9
20,932,17.0,192.0,120.0,112.0,425.0,5-4-0,9
21,1750,17.0,190.0,115.0,63.0,455.0,4-5-0,9
22,2795,17.0,180.0,100.0,61.0,440.0,5-4-0,9
23,935,17.0,154.0,120.0,91.0,405.0,5-4-0,9
24,2388,17.0,122.0,115.0,58.0,405.0,5-4-0,9
25,1448,16.0,202.0,110.0,66.0,480.0,4-5-0,9
26,2395,16.0,198.0,125.0,34.0,475.0,4-5-0,9
27,4005,16.0,176.0,115.0,145.0,385.0,5-4-0,9
28,3179,16.0,154.0,90.0,67.0,405.0,5-4-0,9
29,1561,16.0,152.0,95.0,84.0,385.0,5-4-0,9
30,2373,16.0,146.0,110.0,80.0,405.0,5-4-0,9
31,5889,15.0,184.0,90.0,87.0,420.0,5-4-0,9
32,3498,15.0,182.0,100.0,47.0,455.0,4-5-0,9
33,1742,15.0,164.0,75.0,102.0,410.0,4-5-0,9
34,2004,14.0,218.0,75.0,48.0,460.0,4-5-0,9
35,2333,14.0,160.0,95.0,53.0,455.0,3-6-0,9
36,5611,14.0,114.0,80.0,67.0,340.0,5-4-0,9
37,3465,13.0,186.0,95.0,85.0,405.0,3-6-0,9
38,5098,13.0,172.0,95.0,58.0,410.0,4-5-0,9
39,2461,13.0,170.0,95.0,95.0,385.0,4-5-0,9
40,2165,13.0,168.0,105.0,130.0,345.0,4-5-0,9
41,2986,13.0,150.0,85.0,72.0,350.0,5-4-0,9
42,2765,13.0,148.0,80.0,63.0,390.0,4-5-0,9
43,2773,13.0,142.0,130.0,61.0,350.0,5-4-0,9
44,5578,13.0,138.0,85.0,28.0,360.0,4-5-0,9
45,3160,13.0,106.0,150.0,44.0,360.0,4-5-0,9
46,1700,12.0,184.0,85.0,89.0,390.0,4-5-0,9
47,4400,12.0,176.0,70.0,57.0,415.0,4-5-0,9
48,4298,12.0,130.0,75.0,87.0,365.0,4-5-0,9
49,4933,11.0,120.0,90.0,31.0,345.0,3-6-0,9
50,5621,10.0,116.0,80.0,77.0,340.0,3-6-0,9
51,1209,10.0,88.0,90.0,53.0,385.0,2-7-0,9
52,4523,8.0,160.0,65.0,46.0,380.0,2-7-0,9
53,3163,8.0,152.0,95.0,34.0,390.0,2-7-0,9
54,2424,7.0,138.0,50.0,34.0,325.0,2-7-0,9
55,2382,7.0,110.0,90.0,57.0,320.0,2-7-0,9
56,2398,7.0,108.0,80.0,38.0,360.0,1-8-0,9
57,31,6.0,126.0,50.0,30.0,325.0,2-7-0,9
58,5550,6.0,124.0,80.0,18.0,350.0,1-8-0,9
59,5984,6.0,114.0,55.0,50.0,345.0,2-7-0,9
60,5892,5.0,136.0,80.0,30.0,350.0,1-8-0,9
61,5001,4.0,112.0,70.0,21.0,290.0,1-8-0,9
