Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,1318,38.0,278.0,145.0,328.0,625.0,12-0-0,12
2,4488,33.0,316.0,165.0,321.0,660.0,8-3-1,12
3,2046,32.0,300.0,145.0,197.0,625.0,10-2-0,12
4,2990,32.0,282.0,160.0,153.0,660.0,9-3-0,12
5,5085,30.0,246.0,145.0,86.0,675.0,9-3-0,12
6,753,27.0,294.0,155.0,158.0,635.0,7-5-0,12
7,3574,27.0,266.0,165.0,175.0,620.0,9-3-0,12
8,847,26.0,240.0,170.0,159.0,585.0,7-5-0,12
9,1983,24.0,258.0,225.0,149.0,605.0,6-6-0,12
10,5803,23.0,244.0,185.0,171.0,580.0,6-5-1,12
11,4057,23.0,227.0,120.0,207.0,605.0,6-5-1,12
12,5198,23.0,214.0,100.0,149.0,540.0,7-5-0,12
13,3812,22.0,240.0,145.0,120.0,585.0,6-6-0,12
14,1359,21.0,276.0,145.0,131.0,570.0,6-5-0,12
15,2811,21.0,258.0,115.0,111.0,615.0,6-6-0,12
16,997,21.0,244.0,125.0,157.0,595.0,5-6-1,12
17,955,21.0,241.0,100.0,142.0,600.0,5-7-0,12
18,1510,21.0,236.0,145.0,97.0,580.0,5-7-0,12
19,2550,21.0,234.0,140.0,158.0,585.0,5-6-1,12
20,2907,21.0,224.0,120.0,116.0,585.0,5-7-0,12
21,1432,19.0,240.0,80.0,102.0,545.0,6-6-0,12
22,3024,19.0,234.0,125.0,171.0,550.0,6-6-0,12
23,2521,18.0,244.0,110.0,145.0,610.0,4-8-0,12
24,3049,13.0,149.0,75.0,59.0,420.0,3-7-0,12
25,2411,12.0,236.0,105.0,86.0,545.0,3-8-1,12
26,3636,12.0,210.0,75.0,70.0,465.0,3-8-0,12
27,957,12.0,202.0,90.0,102.0,475.0,3-9-0,12
28,3192,11.0,178.0,100.0,84.0,450.0,3-9-0,12
29,4127,8.0,178.0,115.0,88.0,490.0,2-10-0,12
30,3131,2.0,44.0,35.0,37.0,125.0,0-3-0,12
