2016txda_0,Regional Chairman's Award,frc1296,
2016txda_1,Regional Winners,frc2848,
2016txda_1,Regional Winners,frc148,
2016txda_1,Regional Winners,frc5057,
2016txda_10,Rookie All Star Award,frc6171,
2016txda_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc5437,
2016txda_13,Judges' Award,frc1860,
2016txda_14,Highest Rookie Seed,frc5820,
2016txda_15,Rookie Inspiration Award sponsored by National Instruments,frc5820,
2016txda_16,Industrial Design Award sponsored by General Motors,frc3005,
2016txda_17,Quality Award sponsored by Motorola Solutions Foundation,frc148,
2016txda_18,Industrial Safety Award sponsored by Underwriters Laboratories,frc4076,
2016txda_2,Regional Finalists,frc5417,
2016txda_2,Regional Finalists,frc3478,
2016txda_2,Regional Finalists,frc5431,
2016txda_2,Regional Finalists,frc3735,
2016txda_20,Creativity Award sponsored by Xerox,frc6133,
2016txda_21,Excellence in Engineering Award sponsored by Delphi,frc3478,
2016txda_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc3478,
2016txda_27,Imagery Award in honor of Jack Kamen,frc5431,
2016txda_29,Innovation in Control Award sponsored by Rockwell Automation,frc2848,
2016txda_3,Woodie Flowers Finalist Award,frc148,Adrienne Emerson
2016txda_30,Team Spirit Award sponsored by FCA Foundation,frc647,
2016txda_4,FIRST Dean's List Finalist Award,frc5417,Niki Powell
2016txda_4,FIRST Dean's List Finalist Award,frc5047,Dario Beltran
2016txda_5,Volunteer of the Year,,Nathan Howard and the NASA Machine Shop
2016txda_68,Wildcard,frc5417,
2016txda_9,Regional Engineering Inspiration Award,frc5454,
