Rank,Team,Ranking Score,Auto,Scale/Challenge,Goals,Defense,Record (W-L-T),Played
1,2468,33.0,248.0,125.0,312.0,615.0,10-2-0,12
2,3021,32.0,259.0,190.0,203.0,575.0,11-1-0,12
3,329,32.0,257.0,160.0,321.0,580.0,9-3-0,12
4,287,30.0,292.0,165.0,260.0,620.0,9-3-0,12
5,4334,30.0,224.0,110.0,371.0,580.0,9-3-0,12
6,3225,28.0,284.0,155.0,126.0,685.0,7-5-0,12
7,3230,27.0,232.0,170.0,212.0,575.0,7-5-0,12
8,3241,26.0,254.0,120.0,136.0,615.0,8-4-0,12
9,3289,26.0,248.0,150.0,103.0,630.0,7-5-0,12
10,1477,25.0,286.0,150.0,155.0,615.0,7-5-0,12
11,5489,25.0,224.0,195.0,128.0,540.0,8-4-0,12
12,3243,25.0,176.0,140.0,149.0,500.0,9-3-0,12
13,3288,24.0,230.0,140.0,126.0,590.0,7-5-0,12
14,5933,23.0,222.0,135.0,188.0,530.0,7-5-0,12
15,4310,23.0,188.0,150.0,108.0,570.0,7-5-0,12
16,5974,21.0,234.0,140.0,102.0,555.0,6-6-0,12
17,4585,20.0,200.0,150.0,134.0,495.0,6-6-0,12
18,3245,20.0,190.0,110.0,158.0,570.0,5-7-0,12
19,3006,20.0,184.0,120.0,123.0,540.0,6-6-0,12
20,4598,19.0,232.0,110.0,80.0,515.0,6-6-0,12
21,3166,19.0,182.0,130.0,85.0,570.0,6-6-0,12
22,3239,18.0,205.0,115.0,128.0,585.0,4-8-0,12
23,3374,18.0,189.0,140.0,96.0,575.0,4-8-0,12
24,2484,18.0,160.0,125.0,87.0,470.0,6-6-0,12
25,3008,16.0,207.0,140.0,127.0,495.0,5-7-0,12
26,4944,16.0,206.0,95.0,106.0,500.0,4-8-0,12
27,1891,16.0,180.0,125.0,122.0,505.0,5-7-0,12
28,2993,16.0,172.0,135.0,126.0,520.0,5-7-0,12
29,2465,14.0,143.0,80.0,102.0,475.0,4-8-0,12
30,4348,13.0,134.0,95.0,65.0,450.0,3-9-0,12
31,5159,12.0,179.0,100.0,81.0,480.0,4-8-0,12
32,5071,11.0,160.0,100.0,91.0,425.0,4-8-0,12
33,1622,11.0,116.0,110.0,96.0,415.0,3-9-0,12
34,115,10.0,144.0,105.0,110.0,465.0,2-10-0,12
35,2478,7.0,198.0,100.0,72.0,465.0,2-10-0,12
36,4268,7.0,113.0,55.0,75.0,280.0,2-7-0,12
