Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,192,1.8100000000000001,2628.0,352.0,1100.0,1100.0,33.0,10-1-0,11
2,6530,1.6299999999999999,2590.0,398.0,1200.0,1050.0,20.0,9-2-0,11
3,60,1.6299999999999999,2368.0,510.0,1120.0,850.0,3.0,9-2-0,11
4,6314,1.45,2317.0,246.0,1080.0,1050.0,2.0,8-3-0,11
5,996,1.45,2166.0,440.0,1180.0,800.0,1.0,8-3-0,11
6,498,1.45,2091.0,436.0,1140.0,800.0,6.0,8-3-0,11
7,6413,1.45,1975.0,316.0,1100.0,650.0,10.0,8-3-0,11
8,1492,1.27,2399.0,258.0,1160.0,1000.0,29.0,7-4-0,11
9,4565,1.27,2311.0,445.0,1180.0,950.0,1.0,7-4-0,11
10,4153,1.27,1991.0,375.0,1000.0,800.0,1.0,7-4-0,11
11,842,1.27,1987.0,508.0,960.0,800.0,37.0,7-3-0,11
12,3019,1.27,1986.0,324.0,940.0,850.0,6.0,7-4-0,11
13,6518,1.27,1980.0,370.0,1080.0,700.0,0.0,7-4-0,11
14,4146,1.27,1971.0,378.0,960.0,800.0,16.0,7-4-0,11
15,1011,1.27,1903.0,173.0,940.0,600.0,3.0,7-2-0,11
16,115,1.0900000000000001,2413.0,298.0,1100.0,1100.0,3.0,6-5-0,11
17,2486,1.0900000000000001,2302.0,647.0,1160.0,900.0,22.0,6-5-0,11
18,4183,1.0900000000000001,2187.0,516.0,1240.0,700.0,12.0,6-5-0,11
19,991,1.0900000000000001,2089.0,375.0,1120.0,700.0,14.0,6-5-0,11
20,1197,1.0900000000000001,2082.0,277.0,960.0,850.0,27.0,6-5-0,11
21,3009,1.0900000000000001,1925.0,335.0,1040.0,750.0,20.0,6-5-0,11
22,1828,1.0900000000000001,1845.0,295.0,940.0,750.0,0.0,6-5-0,11
23,3669,1.0900000000000001,1838.0,250.0,960.0,700.0,8.0,6-5-0,11
24,3309,0.90000000000000002,2222.0,304.0,1120.0,700.0,92.0,5-6-0,11
25,3577,0.90000000000000002,2100.0,265.0,1000.0,700.0,5.0,5-6-0,11
26,2375,0.90000000000000002,2039.0,227.0,900.0,850.0,24.0,5-6-0,11
27,1160,0.90000000000000002,2028.0,316.0,940.0,850.0,23.0,5-6-0,11
28,4355,0.90000000000000002,1964.0,256.0,1040.0,750.0,14.0,5-6-0,11
29,3785,0.90000000000000002,1857.0,315.0,820.0,800.0,27.0,5-6-0,11
30,6656,0.90000000000000002,1855.0,220.0,1040.0,600.0,0.0,5-6-0,11
31,2478,0.90000000000000002,1851.0,186.0,780.0,850.0,26.0,5-5-0,11
32,4985,0.90000000000000002,1709.0,253.0,840.0,700.0,9.0,5-6-0,11
33,5207,0.90000000000000002,1695.0,430.0,980.0,550.0,0.0,5-6-0,11
34,6482,0.90000000000000002,1573.0,235.0,840.0,550.0,3.0,5-6-0,11
35,1165,0.71999999999999997,1859.0,373.0,1120.0,550.0,9.0,4-7-0,11
36,4400,0.71999999999999997,1816.0,255.0,960.0,650.0,11.0,4-7-0,11
37,6697,0.71999999999999997,1753.0,325.0,900.0,650.0,13.0,4-7-0,11
38,6641,0.71999999999999997,1668.0,262.0,920.0,500.0,13.0,4-7-0,11
39,5059,0.71999999999999997,1549.0,209.0,880.0,500.0,9.0,4-7-0,11
40,6221,0.71999999999999997,1524.0,205.0,1000.0,400.0,4.0,4-7-0,11
41,3187,0.71999999999999997,1470.0,230.0,960.0,300.0,5.0,4-6-0,11
42,4841,0.54000000000000004,1690.0,180.0,860.0,700.0,0.0,3-8-0,11
43,6127,0.54000000000000004,1655.0,340.0,1000.0,450.0,0.0,3-8-0,11
44,5897,0.35999999999999999,1888.0,415.0,1020.0,650.0,3.0,2-9-0,11
45,6585,0.35999999999999999,1696.0,233.0,1000.0,450.0,11.0,2-9-0,11
46,6017,0.35999999999999999,1693.0,260.0,960.0,550.0,13.0,2-9-0,11
47,4135,0.35999999999999999,1656.0,210.0,820.0,650.0,16.0,2-9-0,11
48,2647,0.17999999999999999,1447.0,111.0,800.0,500.0,7.0,1-10-0,11
