2017cair_0,Regional Chairman's Award,frc3646,
2017cair_1,Regional Winners,frc3309,
2017cair_1,Regional Winners,frc3925,
2017cair_1,Regional Winners,frc6417,
2017cair_10,Rookie All Star Award,frc6554,
2017cair_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc3476,
2017cair_13,Judges' Award,frc5665,
2017cair_14,Highest Rookie Seed,frc6554,
2017cair_15,Rookie Inspiration Award sponsored by National Instruments,frc6560,
2017cair_16,Industrial Design Award sponsored by General Motors,frc5802,
2017cair_17,Quality Award sponsored by Motorola Solutions Foundation,frc599,
2017cair_18,Safety Award sponsored by Underwriters Laboratories,frc4999,
2017cair_2,Regional Finalists,frc4486,
2017cair_2,Regional Finalists,frc599,
2017cair_2,Regional Finalists,frc3473,
2017cair_20,Creativity Award sponsored by Xerox,frc207,
2017cair_21,Excellence in Engineering Award sponsored by Delphi,frc3309,
2017cair_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc597,
2017cair_27,Imagery Award in honor of Jack Kamen,frc5817,
2017cair_29,Innovation in Control Award sponsored by Rockwell Automation,frc4276,
2017cair_3,Woodie Flowers Finalist Award,frc597,Muhammed Okur
2017cair_30,Team Spirit Award sponsored by FCA Foundation,frc1160,
2017cair_4,FIRST Dean's List Finalist Award,frc3309,Jon Logrippo
2017cair_4,FIRST Dean's List Finalist Award,frc5665,Alara Degirmenci
2017cair_5,Volunteer of the Year,,Mary Carr
2017cair_68,Wildcard,frc4486,
2017cair_68,Wildcard,frc599,
2017cair_68,Wildcard,frc3473,
2017cair_9,Regional Engineering Inspiration Award,frc589,
