Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,2761,1.77,1707.0,297.0,900.0,600.0,22.0,8-1-0,9
2,1678,1.6599999999999999,1991.0,261.0,800.0,750.0,236.0,7-2-0,9
3,751,1.6599999999999999,1905.0,305.0,860.0,800.0,55.0,7-1-1,9
4,973,1.55,2069.0,356.0,980.0,800.0,109.0,6-2-1,9
5,5852,1.55,1717.0,139.0,640.0,850.0,62.0,7-2-0,9
6,6699,1.55,1589.0,295.0,940.0,500.0,4.0,7-2-0,9
7,1072,1.3300000000000001,1957.0,439.0,900.0,800.0,42.0,6-3-0,9
8,3256,1.3300000000000001,1656.0,424.0,820.0,650.0,21.0,6-3-0,9
9,6305,1.3300000000000001,1645.0,140.0,780.0,650.0,50.0,6-3-0,9
10,5134,1.3300000000000001,1486.0,216.0,760.0,550.0,21.0,6-3-0,9
11,5104,1.3300000000000001,1466.0,176.0,700.0,550.0,31.0,6-2-0,9
12,1662,1.22,1620.0,245.0,760.0,550.0,45.0,5-4-0,9
13,5677,1.22,1508.0,116.0,600.0,700.0,63.0,5-4-0,9
14,852,1.1100000000000001,1686.0,185.0,780.0,700.0,16.0,5-4-0,9
15,3303,1.1100000000000001,1559.0,169.0,660.0,700.0,4.0,5-4-0,9
16,4643,1.1100000000000001,1550.0,251.0,840.0,450.0,35.0,5-4-0,9
17,2135,1.1100000000000001,1533.0,169.0,820.0,600.0,13.0,5-3-0,9
18,670,1.1100000000000001,1456.0,316.0,820.0,450.0,51.0,5-4-0,9
19,3045,1.1100000000000001,1453.0,244.0,600.0,600.0,38.0,5-3-0,9
20,4276,1.1100000000000001,1417.0,100.0,720.0,550.0,27.0,5-4-0,9
21,1671,1.1100000000000001,1317.0,141.0,840.0,300.0,32.0,5-4-0,9
22,294,1.0,1619.0,400.0,900.0,550.0,4.0,4-3-1,9
23,5817,0.88,1709.0,268.0,860.0,650.0,19.0,4-5-0,9
24,2493,0.88,1478.0,158.0,780.0,550.0,13.0,4-5-0,9
25,1323,0.88,1448.0,280.0,820.0,350.0,138.0,4-5-0,9
26,4255,0.88,1427.0,350.0,880.0,400.0,7.0,4-5-0,9
27,6650,0.88,1421.0,285.0,620.0,650.0,46.0,3-4-1,9
28,1388,0.88,1380.0,195.0,680.0,550.0,15.0,4-5-0,9
29,1422,0.88,1366.0,145.0,700.0,550.0,6.0,4-4-0,9
30,980,0.88,1331.0,122.0,760.0,350.0,31.0,4-5-0,9
31,3189,0.88,1322.0,290.0,700.0,400.0,7.0,4-5-0,9
32,3501,0.88,1269.0,283.0,820.0,300.0,19.0,4-4-0,9
33,2085,0.88,1263.0,160.0,740.0,400.0,23.0,4-5-0,9
34,2643,0.88,1259.0,115.0,640.0,350.0,9.0,4-5-0,9
35,4415,0.77000000000000002,1653.0,211.0,960.0,550.0,3.0,3-5-1,9
36,4543,0.66000000000000003,1506.0,229.0,800.0,500.0,26.0,3-6-0,9
37,1868,0.66000000000000003,1482.0,216.0,660.0,550.0,52.0,3-6-0,9
38,972,0.66000000000000003,1411.0,194.0,780.0,450.0,31.0,3-6-0,9
39,687,0.66000000000000003,1384.0,123.0,640.0,500.0,29.0,3-6-0,9
40,6657,0.66000000000000003,1269.0,98.0,720.0,350.0,14.0,3-6-0,9
41,2813,0.66000000000000003,1199.0,294.0,740.0,300.0,39.0,3-6-0,9
42,3970,0.44,1476.0,170.0,780.0,450.0,46.0,1-7-1,9
43,6711,0.44,1236.0,120.0,620.0,500.0,11.0,2-6-0,9
44,3495,0.44,1222.0,75.0,640.0,450.0,7.0,2-6-0,9
45,6059,0.44,1111.0,185.0,680.0,350.0,6.0,2-7-0,9
46,2367,0.44,1108.0,85.0,640.0,300.0,33.0,2-6-0,9
47,6619,0.44,1006.0,146.0,620.0,200.0,11.0,2-6-0,9
