Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,3464,1.8100000000000001,2728.0,408.0,1240.0,1250.0,33.0,10-1-0,11
2,2067,1.8100000000000001,2324.0,356.0,1080.0,1000.0,39.0,10-1-0,11
3,236,1.6299999999999999,2120.0,627.0,1080.0,750.0,15.0,9-2-0,11
4,177,1.54,2495.0,440.0,1180.0,1000.0,15.0,8-2-1,11
5,716,1.45,2240.0,450.0,1060.0,850.0,40.0,7-2-2,11
6,195,1.45,2217.0,455.0,1200.0,600.0,117.0,8-3-0,11
7,176,1.45,2119.0,320.0,1100.0,750.0,39.0,8-3-0,11
8,5129,1.45,1703.0,335.0,900.0,550.0,48.0,8-3-0,11
9,2064,1.3600000000000001,2024.0,263.0,1040.0,750.0,24.0,7-3-1,11
10,1099,1.27,1900.0,392.0,1040.0,550.0,10.0,7-4-0,11
11,3525,1.27,1761.0,380.0,1120.0,400.0,1.0,7-4-0,11
12,5856,1.27,1720.0,379.0,920.0,600.0,25.0,7-4-0,11
13,4557,1.0900000000000001,2097.0,466.0,1180.0,650.0,67.0,6-5-0,11
14,1071,1.0900000000000001,2081.0,581.0,1220.0,650.0,26.0,6-5-0,11
15,571,1.0900000000000001,1522.0,202.0,860.0,400.0,22.0,6-5-0,11
16,3654,1.0,2143.0,335.0,1140.0,800.0,38.0,5-5-1,11
17,4097,1.0,1729.0,177.0,780.0,750.0,4.0,5-5-1,11
18,2836,1.0,1607.0,492.0,920.0,400.0,7.0,5-5-1,11
19,1124,0.90000000000000002,2012.0,333.0,1140.0,650.0,12.0,5-6-0,11
20,230,0.90000000000000002,1940.0,397.0,920.0,650.0,160.0,5-6-0,11
21,4572,0.90000000000000002,1923.0,396.0,960.0,600.0,3.0,5-6-0,11
22,2170,0.90000000000000002,1908.0,448.0,1020.0,650.0,8.0,5-6-0,11
23,4055,0.90000000000000002,1901.0,312.0,900.0,750.0,16.0,5-6-0,11
24,3634,0.90000000000000002,1733.0,222.0,1000.0,550.0,3.0,5-6-0,11
25,5142,0.90000000000000002,1720.0,271.0,1000.0,450.0,20.0,5-6-0,11
26,3146,0.90000000000000002,1674.0,267.0,960.0,400.0,4.0,5-6-0,11
27,6346,0.90000000000000002,1655.0,400.0,840.0,550.0,0.0,5-6-0,11
28,228,0.81000000000000005,1946.0,390.0,1120.0,550.0,31.0,4-6-1,11
29,181,0.81000000000000005,1889.0,445.0,940.0,700.0,19.0,4-6-1,11
30,155,0.81000000000000005,1635.0,325.0,940.0,400.0,25.0,4-6-1,11
31,999,0.71999999999999997,1793.0,252.0,1120.0,450.0,3.0,4-7-0,11
32,178,0.71999999999999997,1689.0,140.0,840.0,650.0,19.0,4-7-0,11
33,2785,0.71999999999999997,1502.0,315.0,860.0,450.0,32.0,4-6-0,11
34,6675,0.63,1949.0,210.0,1060.0,600.0,9.0,3-7-1,11
35,175,0.54000000000000004,1886.0,277.0,880.0,700.0,6.0,3-8-0,11
36,237,0.54000000000000004,1820.0,293.0,1040.0,500.0,30.0,3-8-0,11
37,558,0.54000000000000004,1599.0,373.0,800.0,600.0,24.0,3-8-0,11
38,3555,0.54000000000000004,1578.0,200.0,820.0,500.0,3.0,3-8-0,11
39,4628,0.54000000000000004,1506.0,278.0,800.0,400.0,56.0,3-8-0,11
40,5686,0.54000000000000004,1443.0,272.0,880.0,350.0,8.0,3-8-0,11
41,3104,0.54000000000000004,1228.0,158.0,620.0,400.0,28.0,3-5-0,11
42,5746,0.45000000000000001,1693.0,329.0,940.0,500.0,43.0,2-8-1,11
