Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,4188,1.75,2990.0,390.0,1560.0,1150.0,0.0,10-2-0,12
2,2974,1.6599999999999999,3023.0,708.0,1580.0,1200.0,3.0,10-2-0,12
3,4189,1.6599999999999999,2685.0,650.0,1560.0,900.0,5.0,10-2-0,12
4,4080,1.6599999999999999,2406.0,510.0,1280.0,900.0,1.0,10-2-0,12
5,5632,1.5,2455.0,333.0,1260.0,850.0,5.0,9-3-0,12
6,5074,1.5,2273.0,568.0,1460.0,600.0,3.0,8-3-1,12
7,3329,1.3300000000000001,2388.0,338.0,1180.0,950.0,3.0,8-4-0,12
8,4941,1.25,2668.0,563.0,1500.0,900.0,3.0,7-4-1,12
9,3581,1.1599999999999999,2635.0,595.0,1380.0,950.0,30.0,7-5-0,12
10,5482,1.1599999999999999,2508.0,395.0,1320.0,1000.0,3.0,7-5-0,12
11,5536,1.1599999999999999,2368.0,433.0,1220.0,900.0,3.0,7-5-0,12
12,3635,1.0800000000000001,2523.0,438.0,1340.0,950.0,3.0,6-5-1,12
13,4459,1.0800000000000001,2282.0,393.0,1320.0,750.0,7.0,6-5-1,12
14,5734,1.0800000000000001,2120.0,440.0,1260.0,600.0,20.0,6-5-1,12
15,5219,1.0800000000000001,1994.0,313.0,1180.0,650.0,4.0,6-4-1,12
16,5109,1.0,2285.0,376.0,1200.0,900.0,25.0,6-6-0,12
17,3694,1.0,1893.0,315.0,1220.0,500.0,8.0,6-6-0,12
18,6471,0.91000000000000003,2260.0,448.0,1260.0,800.0,5.0,5-6-1,12
19,6750,0.91000000000000003,1838.0,303.0,1060.0,550.0,3.0,5-5-1,12
20,4193,0.82999999999999996,1835.0,330.0,1240.0,450.0,0.0,4-6-2,12
21,6139,0.82999999999999996,1786.0,160.0,1020.0,500.0,16.0,5-7-0,12
22,4730,0.75,1899.0,404.0,1100.0,600.0,4.0,4-7-1,12
23,6715,0.75,1825.0,338.0,1080.0,550.0,5.0,4-7-1,12
24,5848,0.75,1815.0,403.0,1180.0,500.0,5.0,4-8-0,12
25,1261,0.66000000000000003,2101.0,560.0,1260.0,600.0,6.0,4-8-0,12
26,1771,0.66000000000000003,1900.0,388.0,1160.0,500.0,5.0,3-7-2,12
27,6349,0.66000000000000003,1783.0,288.0,1100.0,400.0,13.0,4-8-0,12
28,4240,0.57999999999999996,1795.0,388.0,1120.0,500.0,5.0,3-8-1,12
29,6714,0.57999999999999996,1645.0,268.0,1120.0,350.0,5.0,3-8-1,12
30,5828,0.5,1911.0,265.0,1160.0,550.0,1.0,3-9-0,12
31,5651,0.40999999999999998,1770.0,320.0,1100.0,450.0,0.0,2-9-1,12
32,5840,0.25,1507.0,150.0,860.0,550.0,2.0,1-10-1,12
