Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,1986,3.0,2809.0,670.0,1040.0,1050.0,509.0,9-0-0,9
2,1511,1.6599999999999999,2772.0,627.0,1160.0,1000.0,62.0,7-2-0,9
3,1405,1.55,2565.0,685.0,1340.0,1000.0,10.0,6-3-0,9
4,5822,1.55,2360.0,400.0,1120.0,800.0,70.0,6-3-0,9
5,1939,1.55,2323.0,587.0,1180.0,700.0,83.0,6-3-0,9
6,111,1.55,2255.0,553.0,1140.0,950.0,30.0,7-2-0,9
7,1592,1.4399999999999999,2583.0,548.0,1200.0,1150.0,63.0,6-3-0,9
8,144,1.4399999999999999,2565.0,582.0,1220.0,950.0,60.0,6-3-0,9
9,1288,1.4399999999999999,2510.0,416.0,1080.0,1150.0,90.0,6-3-0,9
10,2451,1.4399999999999999,2256.0,426.0,1140.0,750.0,236.0,5-4-0,9
11,1625,1.4399999999999999,2197.0,483.0,1160.0,850.0,37.0,6-2-1,9
12,5350,1.4399999999999999,2011.0,271.0,960.0,700.0,61.0,6-3-0,9
13,5125,1.4399999999999999,1918.0,307.0,880.0,750.0,133.0,6-3-0,9
14,3620,1.3300000000000001,2516.0,654.0,1240.0,900.0,46.0,6-3-0,9
15,2338,1.3300000000000001,2401.0,361.0,1180.0,950.0,56.0,5-4-0,9
16,1756,1.3300000000000001,2391.0,433.0,1040.0,1100.0,91.0,5-3-1,9
17,101,1.3300000000000001,2324.0,274.0,1040.0,1000.0,64.0,5-3-1,9
18,3061,1.3300000000000001,2286.0,577.0,1220.0,900.0,31.0,6-3-0,9
19,16,1.22,2454.0,469.0,1180.0,1000.0,84.0,5-4-0,9
20,4213,1.22,2331.0,597.0,1020.0,1050.0,91.0,5-4-0,9
21,1736,1.22,2236.0,689.0,1220.0,750.0,26.0,5-4-0,9
22,1723,1.22,2138.0,444.0,1140.0,700.0,23.0,5-4-0,9
23,2781,1.22,2094.0,314.0,1000.0,850.0,114.0,5-4-0,9
24,2709,1.22,2042.0,362.0,940.0,800.0,97.0,5-4-0,9
25,4284,1.1100000000000001,2368.0,327.0,1060.0,850.0,73.0,4-4-1,9
26,5847,1.1100000000000001,2246.0,623.0,1240.0,800.0,26.0,5-4-0,9
27,3352,1.1100000000000001,2174.0,558.0,1180.0,850.0,14.0,5-4-0,9
28,4655,1.1100000000000001,2028.0,476.0,1080.0,800.0,13.0,5-3-0,9
29,3488,1.1100000000000001,2006.0,428.0,1100.0,750.0,6.0,5-4-0,9
30,5811,1.1100000000000001,1937.0,569.0,1100.0,600.0,32.0,5-4-0,9
31,3138,1.0,2125.0,566.0,1140.0,750.0,60.0,4-5-0,9
32,1739,1.0,2114.0,430.0,1100.0,700.0,44.0,4-5-0,9
33,5934,1.0,1982.0,520.0,960.0,750.0,72.0,4-5-0,9
34,4979,0.88,2448.0,548.0,1220.0,900.0,8.0,4-5-0,9
35,2022,0.88,2367.0,625.0,1200.0,900.0,62.0,4-5-0,9
36,2039,0.88,2301.0,623.0,1120.0,950.0,16.0,4-5-0,9
37,1781,0.88,2243.0,382.0,1080.0,850.0,48.0,4-5-0,9
38,2526,0.88,1982.0,312.0,1020.0,800.0,2.0,4-5-0,9
39,4241,0.88,1965.0,245.0,880.0,800.0,0.0,4-5-0,9
40,383,0.77000000000000002,2300.0,609.0,1240.0,850.0,15.0,3-6-0,9
41,4787,0.77000000000000002,2051.0,621.0,1220.0,550.0,101.0,2-7-0,9
42,4096,0.66000000000000003,2146.0,323.0,1100.0,800.0,36.0,3-6-0,9
43,2704,0.66000000000000003,1788.0,483.0,1040.0,550.0,3.0,3-6-0,9
44,6651,0.66000000000000003,1710.0,351.0,1040.0,500.0,15.0,3-6-0,9
45,4645,0.55000000000000004,2195.0,510.0,1040.0,850.0,25.0,2-6-1,9
46,4524,0.55000000000000004,2023.0,421.0,1100.0,600.0,13.0,2-6-1,9
47,2151,0.55000000000000004,1963.0,361.0,900.0,700.0,83.0,2-7-0,9
48,3110,0.55000000000000004,1823.0,519.0,1120.0,500.0,53.0,2-7-0,9
49,3734,0.44,1962.0,261.0,960.0,800.0,12.0,2-7-0,9
50,4292,0.44,1820.0,439.0,980.0,650.0,50.0,2-7-0,9
51,2136,0.44,1764.0,414.0,1020.0,600.0,4.0,2-7-0,9
52,3067,0.22,1530.0,318.0,820.0,450.0,35.0,1-8-0,9
53,2725,0.22,1285.0,197.0,760.0,400.0,25.0,1-6-0,9
