2017inpmh_0,District Chairman's Award,frc135,
2017inpmh_1,District Event Winner,frc1501,
2017inpmh_1,District Event Winner,frc234,
2017inpmh_1,District Event Winner,frc2197,
2017inpmh_10,Rookie All Star Award,frc6498,
2017inpmh_11,Gracious Professionalism Award sponsored by Johnson & Johnson,frc829,
2017inpmh_13,Judges' Award,frc1018,
2017inpmh_14,Highest Rookie Seed,frc6721,
2017inpmh_15,Rookie Inspiration Award sponsored by National Instruments,frc6721,
2017inpmh_16,Industrial Design Award sponsored by General Motors,frc1529,
2017inpmh_17,Quality Award sponsored by Motorola Solutions Foundation,frc3176,
2017inpmh_18,Safety Award sponsored by Underwriters Laboratories,frc4926,
2017inpmh_2,District Event Finalist,frc71,
2017inpmh_2,District Event Finalist,frc1720,
2017inpmh_2,District Event Finalist,frc1529,
2017inpmh_20,Creativity Award sponsored by Xerox,frc3559,
2017inpmh_21,Excellence in Engineering Award sponsored by Delphi,frc3940,
2017inpmh_22,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,frc2197,
2017inpmh_27,Imagery Award in honor of Jack Kamen,frc1501,
2017inpmh_29,Innovation in Control Award sponsored by Rockwell Automation,frc1720,
2017inpmh_30,Team Spirit Award sponsored by FCA Foundation,frc5484,
2017inpmh_9,District Engineering Inspiration Award,frc3494,
