Rank,Team,Ranking Score,Match Points,Auto,Rotor,Touchpad,Pressure,Record (W-L-T),Played
1,5067,1.6599999999999999,2753.0,640.0,1440.0,1050.0,3.0,10-2-0,12
2,4405,1.6599999999999999,2520.0,330.0,1140.0,1150.0,0.0,10-2-0,12
3,5530,1.5800000000000001,2625.0,700.0,1460.0,850.0,0.0,9-2-1,12
4,2611,1.5,3078.0,590.0,1540.0,1250.0,3.0,9-3-0,12
5,3656,1.5,2790.0,410.0,1360.0,1100.0,0.0,9-3-0,12
6,6101,1.5,2723.0,315.0,1380.0,1150.0,3.0,9-3-0,12
7,1023,1.3300000000000001,3010.0,835.0,1500.0,1250.0,0.0,8-4-0,12
8,862,1.3300000000000001,2810.0,515.0,1520.0,1100.0,0.0,8-4-0,12
9,3098,1.3300000000000001,2495.0,445.0,1300.0,950.0,0.0,8-4-0,12
10,4395,1.25,2857.0,705.0,1420.0,1200.0,2.0,7-4-1,12
11,5053,1.25,2699.0,755.0,1480.0,900.0,9.0,7-4-1,12
12,6538,1.25,2615.0,445.0,1380.0,950.0,0.0,7-4-1,12
13,3668,1.1599999999999999,2596.0,520.0,1240.0,1000.0,1.0,7-5-0,12
14,5603,1.1599999999999999,2452.0,320.0,1220.0,1050.0,2.0,7-5-0,12
15,6150,1.1599999999999999,2410.0,400.0,1240.0,950.0,0.0,7-5-0,12
16,4819,1.1599999999999999,2275.0,435.0,1180.0,850.0,0.0,7-4-0,12
17,5708,1.1599999999999999,2240.0,410.0,1240.0,800.0,0.0,7-5-0,12
18,1502,1.0,2177.0,695.0,1260.0,700.0,2.0,6-5-0,12
19,5066,0.91000000000000003,2460.0,290.0,1160.0,1100.0,0.0,5-6-1,12
20,5263,0.91000000000000003,2247.0,405.0,1200.0,850.0,2.0,5-6-1,12
21,6570,0.91000000000000003,2031.0,465.0,1260.0,550.0,1.0,5-6-1,12
22,240,0.82999999999999996,2261.0,460.0,1260.0,700.0,1.0,5-7-0,12
23,68,0.82999999999999996,2245.0,140.0,1160.0,850.0,0.0,5-7-0,12
24,1076,0.82999999999999996,2226.0,460.0,1180.0,800.0,1.0,4-5-2,12
25,5222,0.75,2270.0,335.0,1220.0,850.0,0.0,4-7-1,12
26,3773,0.75,2000.0,340.0,1220.0,550.0,5.0,4-7-1,12
27,1528,0.75,1810.0,320.0,1060.0,550.0,0.0,4-7-1,12
28,3322,0.66000000000000003,2660.0,585.0,1420.0,1000.0,0.0,4-8-0,12
29,5144,0.66000000000000003,2301.0,370.0,1160.0,950.0,6.0,4-7-0,12
30,6092,0.66000000000000003,2170.0,340.0,1300.0,650.0,0.0,4-8-0,12
31,4384,0.66000000000000003,2137.0,330.0,1140.0,800.0,2.0,4-8-0,12
32,6033,0.66000000000000003,2075.0,475.0,1140.0,650.0,0.0,4-8-0,12
33,6556,0.66000000000000003,1936.0,330.0,1140.0,550.0,1.0,3-7-2,12
34,6190,0.57999999999999996,2147.0,575.0,1300.0,650.0,2.0,3-8-1,12
35,313,0.57999999999999996,2030.0,365.0,1160.0,700.0,0.0,3-8-1,12
36,5710,0.57999999999999996,1790.0,255.0,880.0,650.0,0.0,3-7-1,12
37,5853,0.57999999999999996,1774.0,385.0,1120.0,450.0,4.0,3-7-1,12
38,3641,0.5,2088.0,345.0,1140.0,750.0,3.0,3-9-0,12
39,5688,0.5,1956.0,460.0,1140.0,550.0,1.0,3-9-0,12
40,4568,0.5,1931.0,460.0,1060.0,650.0,6.0,3-9-0,12
